Time,Channel A
(s),(mV)

0.00000000,41.26102000
0.00033334,36.86636000
0.00066669,41.61198000
0.00100003,47.66991000
0.00133338,47.97509000
0.00166672,44.55702000
0.00200006,36.25599000
0.00233341,29.86236000
0.00266675,12.90933000
0.00300010,7.58384900
0.00333344,-11.01718000
0.00366678,-26.68843000
0.00400013,-47.28843000
0.00433347,-43.61095000
0.00466682,-52.20191000
0.00500016,-72.03894000
0.00533350,-69.65849000
0.00566685,-72.23730000
0.00600019,-95.32455000
0.00633354,-66.19464000
0.00666688,-87.23715000
0.00700022,-83.69701000
0.00733357,-70.14679000
0.00766691,-67.43064000
0.00800026,-54.75020000
0.00833360,-27.92443000
0.00866694,-12.32948000
0.00900029,-4.92873900
0.00933363,12.16162000
0.00966698,18.90622000
0.01000032,35.23362000
0.01033366,45.10636000
0.01066701,36.54591000
0.01100035,50.41658000
0.01133370,43.97717000
0.01166704,43.82458000
0.01200038,42.68013000
0.01233373,36.36280000
0.01266707,27.95495000
0.01300042,13.30607000
0.01333376,-9.44547800
0.01366710,-22.61421000
0.01400045,-35.49303000
0.01433379,-44.80117000
0.01466714,-48.44813000
0.01500048,-60.89968000
0.01533382,-66.83553000
0.01566717,-76.66249000
0.01600051,-73.36649000
0.01633386,-66.78976000
0.01666720,-60.89968000
0.01700054,-71.55064000
0.01733389,-52.87331000
0.01766723,-34.89791000
0.01800058,-18.92147000
0.01833392,-4.57777600
0.01866726,1.03762900
0.01900061,4.86770200
0.01933395,19.57762000
0.01966730,12.77199000
0.02000064,26.99362000
0.02033398,41.99347000
0.02066733,34.98947000
0.02100067,49.80621000
0.02133402,34.66903000
0.02166736,39.33836000
0.02200070,47.77672000
0.02233405,35.41673000
0.02266739,21.56133000
0.02300074,11.50548000
0.02333408,-14.11481000
0.02366742,-23.34666000
0.02400077,-45.48784000
0.02433411,-53.97198000
0.02466746,-65.72160000
0.02500080,-77.05923000
0.02533414,-78.95138000
0.02566749,-89.32767000
0.02600083,-86.88619000
0.02633418,-88.44263000
0.02666752,-96.34693000
0.02700086,-84.65834000
0.02733421,-68.95657000
0.02766755,-64.68398000
0.02800090,-48.32606000
0.02833424,-34.10443000
0.02866758,-17.22770000
0.02900093,2.50251800
0.02933427,7.96533100
0.02966762,12.26844000
0.03000096,37.30888000
0.03033430,32.36488000
0.03066765,28.26014000
0.03100099,45.99139000
0.03133434,26.33747000
0.03166768,36.27124000
0.03200103,39.18576000
0.03233437,31.57140000
0.03266771,10.74251000
0.03300106,6.19525700
0.03333440,-11.29185000
0.03366775,-26.10858000
0.03400109,-37.17154000
0.03433443,-47.70043000
0.03466778,-47.33421000
0.03500112,-61.02176000
0.03533447,-60.70131000
0.03566781,-76.31153000
0.03600115,-70.14679000
0.03633450,-76.38783000
0.03666784,-71.38279000
0.03700119,-62.28827000
0.03733453,-48.61598000
0.03766787,-36.21021000
0.03800122,-29.99969000
0.03833456,-31.09836000
0.03866791,-10.33051000
0.03900125,11.23081000
0.03933459,19.79125000
0.03966794,27.16147000
0.04000128,49.28739000
0.04033463,44.86221000
0.04066797,37.26310000
0.04100131,52.36976000
0.04133466,37.94976000
0.04166800,30.97629000
0.04200135,39.87243000
0.04233469,35.92028000
0.04266803,22.99570000
0.04300138,-1.60222200
0.04333472,-18.31110000
0.04366807,-36.53065000
0.04400141,-46.09821000
0.04433475,-57.34428000
0.04466810,-67.52220000
0.04500144,-64.60768000
0.04533479,-77.89849000
0.04566813,-84.49049000
0.04600147,-80.76723000
0.04633482,-93.69182000
0.04666816,-76.58620000
0.04700151,-90.42634000
0.04733485,-63.79894000
0.04766819,-65.50797000
0.04800154,-50.63020000
0.04833488,-30.21332000
0.04866823,-2.92977700
0.04900157,8.20947800
0.04933491,13.85540000
0.04966826,13.59600000
0.05000160,20.09644000
0.05033495,43.70250000
0.05066829,39.12473000
0.05100163,45.24369000
0.05133498,36.34754000
0.05166832,47.95984000
0.05200167,42.72591000
0.05233501,32.56325000
0.05266835,26.24592000
0.05300170,18.98251000
0.05333504,-7.23288600
0.05366839,-20.02014000
0.05400173,-46.34235000
0.05433507,-51.48472000
0.05466842,-64.36353000
0.05500176,-71.39805000
0.05533511,-74.15997000
