Time,Channel A
(s),(mV)

0.00000000,70.37568000
0.00033334,78.66145000
0.00066669,80.90456000
0.00100003,94.95834000
0.00133338,89.03775000
0.00166672,76.38783000
0.00200006,70.65034000
0.00233341,58.73287000
0.00266675,36.45436000
0.00300010,19.56236000
0.00333344,15.42711000
0.00366678,-3.20444300
0.00400013,-10.55940000
0.00433347,-20.41688000
0.00466682,-24.41481000
0.00500016,-28.88577000
0.00533350,-36.56117000
0.00566685,-45.07584000
0.00600019,-41.00161000
0.00633354,-37.99554000
0.00666688,-39.91821000
0.00700022,-27.78710000
0.00733357,-13.94696000
0.00766691,0.12207400
0.00800026,26.01703000
0.00833360,35.18784000
0.00866694,54.97909000
0.00900029,69.26176000
0.00933363,68.08679000
0.00966698,71.07761000
0.01000032,97.64397000
0.01033366,84.91775000
0.01066701,90.04486000
0.01100035,81.24027000
0.01133370,83.07137000
0.01166704,87.64915000
0.01200038,83.92590000
0.01233373,67.75109000
0.01266707,51.19479000
0.01300042,38.22443000
0.01333376,12.05481000
0.01366710,14.16059000
0.01400045,-3.87585000
0.01433379,-13.99273000
0.01466714,-26.42903000
0.01500048,-18.61629000
0.01533382,-22.15644000
0.01566717,-34.28754000
0.01600051,-24.36903000
0.01633386,-28.58058000
0.01666720,-13.80962000
0.01700054,-10.14740000
0.01733389,-3.12814700
0.01766723,5.29496100
0.01800058,22.38533000
0.01833392,29.67925000
0.01866726,41.81035000
0.01900061,48.92117000
0.01933395,64.39405000
0.01966730,72.11523000
0.02000064,93.58500000
0.02033398,79.01242000
0.02066733,91.95226000
0.02100067,85.20767000
0.02133402,83.78856000
0.02166736,89.32767000
0.02200070,87.35923000
0.02233405,53.17850000
0.02266739,44.67910000
0.02300074,28.77895000
0.02333408,20.32533000
0.02366742,6.42414600
0.02400077,-5.95110900
0.02433411,-12.00903000
0.02466746,-31.44932000
0.02500080,-24.43007000
0.02533414,-35.47777000
0.02566749,-53.39213000
0.02600083,-44.37391000
0.02633418,-50.85909000
0.02666752,-26.45955000
0.02700086,-18.53999000
0.02733421,-24.23170000
0.02766755,-24.06384000
0.02800090,3.23496200
0.02833424,36.85110000
0.02866758,54.12457000
0.02900093,56.76442000
0.02933427,64.39405000
0.02966762,74.73982000
0.03000096,91.38767000
0.03033430,97.12515000
0.03066765,96.51478000
0.03100099,92.63892000
0.03133434,95.87389000
0.03166768,80.72146000
0.03200103,76.12842000
0.03233437,65.44694000
0.03266771,48.75331000
0.03300106,30.94577000
0.03333440,11.01718000
0.03366775,2.86874000
0.03400109,0.06103702
0.03433443,-3.69273900
0.03466778,-18.50947000
0.03500112,-32.95999000
0.03533447,-37.88873000
0.03566781,-27.49718000
0.03600115,-23.74340000
0.03633450,-16.02221000
0.03666784,-32.85317000
0.03700119,-16.95303000
0.03733453,13.07718000
0.03766787,25.16251000
0.03800122,24.52162000
0.03833456,34.19599000
0.03866791,53.45317000
0.03900125,72.43568000
0.03933459,87.90856000
0.03966794,81.59123000
0.04000128,80.00427000
0.04033463,86.56575000
0.04066797,86.65730000
0.04100131,95.90441000
0.04133466,78.64619000
0.04166800,89.44975000
0.04200135,82.88827000
0.04233469,76.12842000
0.04266803,58.03094000
0.04300138,34.68428000
0.04333472,19.44029000
0.04366807,-2.10577700
0.04400141,-16.46474000
0.04433475,-33.61613000
0.04466810,-34.22651000
0.04500144,-33.43303000
0.04533479,-38.16339000
0.04566813,-37.26310000
0.04600147,-46.75435000
0.04633482,-40.14710000
0.04666816,-30.18280000
0.04700151,-23.17881000
0.04733485,-25.86444000
0.04766819,-26.50532000
0.04800154,-9.93377500
0.04833488,11.96325000
0.04866823,34.62325000
0.04900157,57.80206000
0.04933491,68.07153000
0.04966826,72.43568000
0.05000160,98.30012000
0.05033495,88.56471000
0.05066829,83.57493000
0.05100163,88.16797000
0.05133498,94.34796000
0.05166832,99.32249000
0.05200167,83.17819000
0.05233501,68.30042000
0.05266835,53.63628000
0.05300170,27.17673000
0.05333504,18.11273000
0.05366839,10.22370000
0.05400173,1.75481400
0.05433507,1.78533300
0.05466842,-9.67436700
0.05500176,-22.58370000
0.05533511,-32.15125000
0.05566845,-23.97229000
0.05600179,-25.40666000
