Time,Channel A
(s),(V)

0.00000000,0.09039582
0.00033334,0.08294931
0.00066669,0.08606219
0.00100003,0.07885983
0.00133338,0.08606219
0.00166672,0.08447523
0.00200006,0.07629627
0.00233341,0.06988738
0.00266675,0.05023347
0.00300010,0.04516739
0.00333344,0.01849422
0.00366678,-0.00317393
0.00400013,-0.01330607
0.00433347,-0.02642903
0.00466682,-0.03314310
0.00500016,-0.03558458
0.00533350,-0.05444502
0.00566685,-0.03320414
0.00600019,-0.06128117
0.00633354,-0.05133213
0.00666688,-0.04675436
0.00700022,-0.02545244
0.00733357,-0.01702933
0.00766691,-0.01361126
0.00800026,-0.00830104
0.00833360,0.01855525
0.00866694,0.04150517
0.00900029,0.05664235
0.00933363,0.07422101
0.00966698,0.08276620
0.01000032,0.08056886
0.01033366,0.07782220
0.01066701,0.08691671
0.01100035,0.07373272
0.01133370,0.08691671
0.01166704,0.09497360
0.01200038,0.07287820
0.01233373,0.06927702
0.01266707,0.06952117
0.01300042,0.04388562
0.01333376,0.03411970
0.01366710,0.00219733
0.01400045,-0.00170904
0.01433379,-0.01263466
0.01466714,-0.02832118
0.01500048,-0.02966399
0.01533382,-0.02697836
0.01566717,-0.04480117
0.01600051,-0.03357036
0.01633386,-0.02172918
0.01666720,-0.02264473
0.01700054,-0.03918577
0.01733389,-0.01226844
0.01766723,0.00146489
0.01800058,0.01995911
0.01833392,0.02728355
0.01866726,0.04681540
0.01900061,0.06213569
0.01933395,0.06933805
0.01966730,0.07599109
0.02000064,0.07593005
0.02033398,0.07702872
0.02066733,0.09546190
0.02100067,0.07898191
0.02133402,0.08642842
0.02166736,0.07055879
0.02200070,0.07849361
0.02233405,0.07068087
0.02266739,0.05902280
0.02300074,0.03448591
0.02333408,0.01812799
0.02366742,0.00769066
0.02400077,-0.01031526
0.02433411,-0.02551347
0.02466746,-0.03149510
0.02500080,-0.04492325
0.02533414,-0.03650014
0.02566749,-0.04412977
0.02600083,-0.06738487
0.02633418,-0.05194250
0.02666752,-0.05322428
0.02700086,-0.02429273
0.02733421,-0.02813807
0.02766755,-0.03131199
0.02800090,-0.02014222
0.02833424,-0.01709037
0.02866758,0.02502518
0.02900093,0.03991821
0.02933427,0.04998932
0.02966762,0.07190160
0.03000096,0.09112827
0.03033430,0.07708976
0.03066765,0.07837153
0.03100099,0.07940916
0.03133434,0.08404797
0.03166768,0.08276620
0.03200103,0.07770012
0.03233437,0.06207465
0.03266771,0.05725272
0.03300106,0.03784295
0.03333440,0.02246162
0.03366775,0.00756859
0.03400109,0.00878933
0.03433443,-0.00915555
0.03466778,-0.02655110
0.03500112,-0.02496414
0.03533447,-0.03137303
0.03566781,-0.04119999
0.03600115,-0.02874844
0.03633450,-0.02386547
0.03666784,-0.04705954
0.03700119,-0.03375347
0.03733453,-0.01293985
0.03766787,-0.00305185
0.03800122,0.01507614
0.03833456,0.03961302
0.03866791,0.04766991
0.03900125,0.04754784
0.03933459,0.06329539
0.03966794,0.05932798
0.04000128,0.08410901
0.04033463,0.09454634
0.04066797,0.07666250
0.04100131,0.08539079
0.04133466,0.08014160
0.04166800,0.07281716
0.04200135,0.08838160
0.04233469,0.06970428
0.04266803,0.05279702
0.04300138,0.02655110
0.04333472,0.01654103
0.04366807,0.00140385
0.04400141,-0.00634785
0.04433475,-0.01507614
0.04466810,-0.02313303
0.04500144,-0.03888058
0.04533479,-0.04394665
0.04566813,-0.05615406
0.04600147,-0.05505539
0.04633482,-0.05468917
0.04666816,-0.04779199
0.04700151,-0.04779199
0.04733485,-0.03827021
0.04766819,-0.00683615
0.04800154,-0.00329600
0.04833488,0.01886044
0.04866823,0.03204443
0.04900157,0.04638813
0.04933491,0.06567583
0.04966826,0.06579791
0.05000160,0.07061983
0.05033495,0.07983642
0.05066829,0.07562487
0.05100163,0.07647938
0.05133498,0.06939909
0.05166832,0.07611316
0.05200167,0.09369183
0.05233501,0.07782220
0.05266835,0.05084383
0.05300170,0.03961302
0.05333504,0.02459792
0.05366839,-0.00305185
0.05400173,-0.01409955
0.05433507,-0.01306192
0.05466842,-0.03021332
0.05500176,-0.04461806
0.05533511,-0.04589984
0.05566845,-0.04559465
0.05600179,-0.03045747
0.05633514,-0.05481124
