Time,Channel A
(s),(V)

0.00000000,-0.08142339
0.00033334,-0.08276620
0.00066669,-0.06769005
0.00100003,-0.07599109
0.00133338,-0.07031465
0.00166672,-0.04828028
0.00200006,-0.04181036
0.00233341,-0.01696829
0.00266675,-0.00036622
0.00300010,0.01898251
0.00333344,0.03924681
0.00366678,0.04119999
0.00400013,0.03906369
0.00433347,0.05407880
0.00466682,0.05694754
0.00500016,0.04486221
0.00533350,0.04541154
0.00566685,0.05194250
0.00600019,0.04974517
0.00633354,0.04095584
0.00666688,0.03521836
0.00700022,0.01068148
0.00733357,-0.01373333
0.00766691,-0.03662221
0.00800026,-0.03424177
0.00833360,-0.04516739
0.00866694,-0.06463820
0.00900029,-0.06518754
0.00933363,-0.08319346
0.00966698,-0.07336649
0.01000032,-0.06347850
0.01033366,-0.06610309
0.01066701,-0.04724265
0.01100035,-0.06518754
0.01133370,-0.06134220
0.01166704,-0.04693747
0.01200038,-0.01995911
0.01233373,-0.00573748
0.01266707,0.01379437
0.01300042,0.02465896
0.01333376,0.03173925
0.01366710,0.03796503
0.01400045,0.04272591
0.01433379,0.05505539
0.01466714,0.03961302
0.01500048,0.06707969
0.01533382,0.04242073
0.01566717,0.05432295
0.01600051,0.04315317
0.01633386,0.04254280
0.01666720,0.02368236
0.01700054,0.01599170
0.01733389,-0.01532029
0.01766723,-0.04034547
0.01800058,-0.03759880
0.01833392,-0.06305124
0.01866726,-0.06732383
0.01900061,-0.07928709
0.01933395,-0.07562487
0.01966730,-0.08410901
0.02000064,-0.07904294
0.02033398,-0.09082308
0.02066733,-0.07440413
0.02100067,-0.07110813
0.02133402,-0.07483138
0.02166736,-0.06695761
0.02200070,-0.04864650
0.02233405,-0.02478103
0.02266739,-0.00903348
0.02300074,0.02710044
0.02333408,0.03424177
0.02366742,0.04174932
0.02400077,0.04956206
0.02433411,0.04095584
0.02466746,0.06457716
0.02500080,0.05236976
0.02533414,0.04583880
0.02566749,0.06128117
0.02600083,0.04632710
0.02633418,0.02050844
0.02666752,0.03161718
0.02700086,-0.01080355
0.02733421,-0.00073244
0.02766755,-0.01879940
0.02800090,-0.03479110
0.02833424,-0.04736473
0.02866758,-0.06158635
0.02900093,-0.07129124
0.02933427,-0.06390576
0.02966762,-0.05761895
0.03000096,-0.07776116
0.03033430,-0.06268502
0.03066765,-0.06714072
0.03100099,-0.04925688
0.03133434,-0.03540147
0.03166768,-0.03802606
0.03200103,-0.02008118
0.03233437,-0.01629688
0.03266771,0.00317393
0.03300106,0.01702933
0.03333440,0.04449598
0.03366775,0.03729362
0.03400109,0.06414991
0.03433443,0.05273598
0.03466778,0.03228858
0.03500112,0.06012146
0.03533447,0.05230872
0.03566781,0.04535051
0.03600115,0.04498428
0.03633450,0.05133213
0.03666784,0.03100681
0.03700119,0.00750755
0.03733453,-0.01202429
0.03766787,-0.03057955
0.03800122,-0.04419080
0.03833456,-0.05682547
0.03866791,-0.06860561
0.03900125,-0.06421094
0.03933459,-0.07415998
0.03966794,-0.09247109
0.04000128,-0.07635731
0.04033463,-0.09210486
0.04066797,-0.08246101
0.04100131,-0.07861568
0.04133466,-0.06927702
0.04166800,-0.07794427
0.04200135,-0.05175939
0.04233469,-0.03259377
0.04266803,0.01025422
0.04300138,0.02587970
0.04333472,0.03961302
0.04366807,0.04321421
0.04400141,0.04370251
0.04433475,0.04272591
0.04466810,0.05597094
0.04500144,0.04571673
0.04533479,0.04541154
0.04566813,0.05523850
0.04600147,0.04895169
0.04633482,0.04242073
0.04666816,0.03021332
0.04700151,0.00982696
0.04733485,-0.00958281
0.04766819,-0.02911466
0.04800154,-0.02600177
0.04833488,-0.05163732
0.04866823,-0.06256294
0.04900157,-0.06366161
0.04933491,-0.07428205
0.04966826,-0.05713065
0.05000160,-0.07415998
0.05033495,-0.05041658
0.05066829,-0.06799524
0.05100163,-0.06305124
0.05133498,-0.03405866
0.05166832,-0.02661214
0.05200167,-0.01458785
0.05233501,-0.00396741
0.05266835,0.02209540
0.05300170,0.02673421
0.05333504,0.05267495
0.05366839,0.04449598
0.05400173,0.03772088
0.05433507,0.06201361
0.05466842,0.05017243
0.05500176,0.05047762
0.05533511,0.05206458
0.05566845,0.05731376
0.05600179,0.04235969
