Time,Channel A
(s),(V)

0.00000000,0.10193180
0.00033334,0.11420030
0.00066669,0.08825953
0.00100003,0.06854457
0.00133338,0.04998932
0.00166672,0.02752770
0.00200006,0.00988800
0.00233341,-0.00463881
0.00266675,-0.02002014
0.00300010,-0.02600177
0.00333344,-0.02508621
0.00366678,-0.04449598
0.00400013,-0.01452681
0.00433347,-0.04119999
0.00466682,-0.02020325
0.00500016,-0.01507614
0.00533350,-0.01635792
0.00566685,-0.01031526
0.00600019,0.01171911
0.00633354,0.03418073
0.00666688,0.04138310
0.00700022,0.03881954
0.00733357,0.07672353
0.00766691,0.08453627
0.00800026,0.10840170
0.00833360,0.11767940
0.00866694,0.09619434
0.00900029,0.11450540
0.00933363,0.10315260
0.00966698,0.12079230
0.01000032,0.09515671
0.01033366,0.08838160
0.01066701,0.08325449
0.01100035,0.06384473
0.01133370,0.03613392
0.01166704,0.02630696
0.01200038,0.00573748
0.01233373,-0.01123081
0.01266707,-0.01654103
0.01300042,-0.03668325
0.01333376,-0.05804621
0.01366710,-0.05011139
0.01400045,-0.06469924
0.01433379,-0.05298013
0.01466714,-0.04779199
0.01500048,-0.05810724
0.01533382,-0.04095584
0.01566717,-0.03173925
0.01600051,-0.02014222
0.01633386,0.01538133
0.01666720,0.04846339
0.01700054,0.06219672
0.01733389,0.08490250
0.01766723,0.09967345
0.01800058,0.11249120
0.01833392,0.10364090
0.01866726,0.09509568
0.01900061,0.11139260
0.01933395,0.10046690
0.01966730,0.09887997
0.02000064,0.10992770
0.02033398,0.11212500
0.02066733,0.08923613
0.02100067,0.07611316
0.02133402,0.05835139
0.02166736,0.03265481
0.02200070,0.01251259
0.02233405,-0.00653096
0.02266739,-0.00885037
0.02300074,-0.02233955
0.02333408,-0.03656118
0.02366742,-0.03698843
0.02400077,-0.05761895
0.02433411,-0.03643910
0.02466746,-0.04315317
0.02500080,-0.02374340
0.02533414,-0.02056948
0.02566749,-0.00305185
0.02600083,0.00012207
0.02633418,-0.00054933
0.02666752,0.01648000
0.02700086,0.04309214
0.02733421,0.05053865
0.02766755,0.08166753
0.02800090,0.09350871
0.02833424,0.10858490
0.02866758,0.09930723
0.02900093,0.08850367
0.02933427,0.11755730
0.02966762,0.10675370
0.03000096,0.08893093
0.03033430,0.08569597
0.03066765,0.07434309
0.03100099,0.06305124
0.03133434,0.04712058
0.03166768,0.00744652
0.03200103,0.00006104
0.03233437,-0.01739555
0.03266771,-0.01977599
0.03300106,-0.03888058
0.03333440,-0.03900266
0.03366775,-0.04828028
0.03400109,-0.04315317
0.03433443,-0.06805628
0.03466778,-0.04193243
0.03500112,-0.04547258
0.03533447,-0.03650014
0.03566781,-0.03143407
0.03600115,0.00433363
0.03633450,0.02252266
0.03666784,0.02056948
0.03700119,0.05432295
0.03733453,0.06970428
0.03766787,0.08960234
0.03800122,0.09527878
0.03833456,0.08423109
0.03866791,0.08862575
0.03900125,0.11243020
0.03933459,0.09356975
0.03966794,0.10626540
0.04000128,0.10876800
0.04033463,0.10376290
0.04066797,0.08868679
0.04100131,0.07202368
0.04133466,0.04358043
0.04166800,0.02880947
0.04200135,0.01684622
0.04233469,0.00341807
0.04266803,-0.01635792
0.04300138,-0.00982696
0.04333472,-0.03521836
0.04366807,-0.03607288
0.04400141,-0.03546251
0.04433475,-0.02563555
0.04466810,-0.03070162
0.04500144,-0.01074252
0.04533479,-0.00817896
0.04566813,0.00390637
0.04600147,0.01690725
0.04633482,0.02099673
0.04666816,0.04126102
0.04700151,0.06335643
0.04733485,0.07593005
0.04766819,0.09094515
0.04800154,0.08966338
0.04833488,0.08673360
0.04866823,0.10675370
0.04900157,0.09942930
0.04933491,0.11713000
0.04966826,0.09649953
0.05000160,0.09430219
0.05033495,0.08569597
0.05066829,0.09533982
0.05100163,0.07165746
0.05133498,0.04712058
0.05166832,0.02075259
0.05200167,0.01104770
0.05233501,-0.02258370
0.05266835,-0.03875851
0.05300170,-0.02960295
0.05333504,-0.03118992
0.05366839,-0.03234962
0.05400173,-0.04779199
0.05433507,-0.04931791
0.05466842,-0.04760887
0.05500176,-0.03234962
0.05533511,-0.03582873
0.05566845,-0.03619495
0.05600179,-0.01684622
0.05633514,0.01080355
0.05666848,0.01330607
