Time,Channel A
(s),(V)

0.00000000,-0.03692739
0.00033334,-0.03680532
0.00066669,-0.03778192
0.00100003,-0.03369243
0.00133338,-0.04034547
0.00166672,-0.03118992
0.00200006,-0.04516739
0.00233341,-0.02148503
0.00266675,-0.03625599
0.00300010,-0.04406873
0.00333344,-0.01464888
0.00366678,-0.00097659
0.00400013,0.03295999
0.00433347,0.02636799
0.00466682,0.05847346
0.00500016,0.07647938
0.00533350,0.09173864
0.00566685,0.10760830
0.00600019,0.09356975
0.00633354,0.09448531
0.00666688,0.09839167
0.00700022,0.10419020
0.00733357,0.10657060
0.00766691,0.08624531
0.00800026,0.07208472
0.00833360,0.04486221
0.00866694,0.04107791
0.00900029,0.02490310
0.00933363,-0.00457778
0.00966698,-0.01440474
0.01000032,-0.02526933
0.01033366,-0.02966399
0.01066701,-0.03436384
0.01100035,-0.05383465
0.01133370,-0.07812738
0.01166704,-0.05993835
0.01200038,-0.06848353
0.01233373,-0.04712058
0.01266707,-0.02850429
0.01300042,-0.02801599
0.01333376,-0.03314310
0.01366710,-0.01971496
0.01400045,0.01513718
0.01433379,0.03845332
0.01466714,0.05883969
0.01500048,0.05932798
0.01533382,0.07593005
0.01566717,0.09546190
0.01600051,0.09772027
0.01633386,0.10687580
0.01666720,0.09082308
0.01700054,0.10913420
0.01733389,0.09320353
0.01766723,0.08294931
0.01800058,0.07238990
0.01833392,0.06244087
0.01866726,0.04437391
0.01900061,0.01232948
0.01933395,0.00891141
0.01966730,-0.00170904
0.02000064,-0.01849422
0.02033398,-0.02966399
0.02066733,-0.03466903
0.02100067,-0.05365154
0.02133402,-0.04284799
0.02166736,-0.03149510
0.02200070,-0.04034547
0.02233405,-0.04284799
0.02266739,-0.01886044
0.02300074,-0.01257363
0.02333408,-0.00451674
0.02366742,0.02111881
0.02400077,0.03582873
0.02433411,0.06421094
0.02466746,0.07831050
0.02500080,0.09515671
0.02533414,0.07562487
0.02566749,0.07843257
0.02600083,0.09710990
0.02633418,0.09894101
0.02666752,0.09149449
0.02700086,0.07971434
0.02733421,0.08990753
0.02766755,0.09149449
0.02800090,0.07464828
0.02833424,0.05536058
0.02866758,0.03924681
0.02900093,0.02099673
0.02933427,-0.00610370
0.02966762,-0.03332621
0.03000096,-0.03302103
0.03033430,-0.05175939
0.03066765,-0.04620502
0.03100099,-0.04364147
0.03133434,-0.05298013
0.03166768,-0.06353953
0.03200103,-0.05413984
0.03233437,-0.05835139
0.03266771,-0.05175939
0.03300106,-0.05456709
0.03333440,-0.02996918
0.03366775,-0.00854518
0.03400109,0.03387555
0.03433443,0.05554369
0.03466778,0.05401776
0.03500112,0.07330546
0.03533447,0.08655049
0.03566781,0.09418012
0.03600115,0.09192175
0.03633450,0.10675370
0.03666784,0.09979553
0.03700119,0.10022280
0.03733453,0.09302042
0.03766787,0.09576708
0.03800122,0.07983642
0.03833456,0.05053865
0.03866791,0.04950102
0.03900125,0.02258370
0.03933459,0.01458785
0.03966794,-0.00231941
0.04000128,-0.01532029
0.04033463,-0.02905362
0.04066797,-0.02948088
0.04100131,-0.04162725
0.04133466,-0.04297006
0.04166800,-0.03704947
0.04200135,-0.03668325
0.04233469,-0.03704947
0.04266803,-0.02722251
0.04300138,-0.02081362
0.04333472,0.00579852
0.04366807,0.00994903
0.04400141,0.02282785
0.04433475,0.05407880
0.04466810,0.06781213
0.04500144,0.07843257
0.04533479,0.07623523
0.04566813,0.08221687
0.04600147,0.09125035
0.04633482,0.09332560
0.04666816,0.10266430
0.04700151,0.09698782
0.04733485,0.09253212
0.04766819,0.09558398
0.04800154,0.06787317
0.04833488,0.05883969
0.04866823,0.05175939
0.04900157,0.02166814
0.04933491,0.00531022
0.04966826,-0.01202429
0.05000160,-0.01556444
0.05033495,-0.03448591
0.05066829,-0.03509629
0.05100163,-0.04834132
0.05133498,-0.06622516
0.05166832,-0.05493332
0.05200167,-0.07318339
0.05233501,-0.03784295
0.05266835,-0.03619495
0.05300170,-0.03308206
0.05333504,-0.03295999
0.05366839,-0.02911466
0.05400173,0.00170904
0.05433507,0.03595080
0.05466842,0.06006043
0.05500176,0.05456709
0.05533511,0.07373272
0.05566845,0.10907320
0.05600179,0.09356975
0.05633514,0.09155553
