Time,Channel A
(s),(mV)

0.00000000,-54.30769000
0.00033334,-69.03287000
0.00066669,-58.13776000
0.00100003,-68.97182000
0.00133338,-86.39790000
0.00166672,-66.97286000
0.00200006,-78.84457000
0.00233341,-68.59035000
0.00266675,-55.11643000
0.00300010,-55.58946000
0.00333344,-56.18457000
0.00366678,-31.34251000
0.00400013,-0.83925900
0.00433347,24.62844000
0.00466682,43.64147000
0.00500016,58.88546000
0.00533350,59.84679000
0.00566685,51.68309000
0.00600019,49.04324000
0.00633354,63.82946000
0.00666688,52.64442000
0.00700022,67.07968000
0.00733357,58.07672000
0.00766691,43.70250000
0.00800026,32.67006000
0.00833360,32.09021000
0.00866694,19.08933000
0.00900029,-6.17999800
0.00933363,-18.50947000
0.00966698,-29.11466000
0.01000032,-51.92724000
0.01033366,-62.33405000
0.01066701,-67.23227000
0.01100035,-68.91079000
0.01133370,-61.58635000
0.01166704,-83.74278000
0.01200038,-48.43287000
0.01233373,-54.10931000
0.01266707,-57.08487000
0.01300042,-47.10532000
0.01333376,-27.23777000
0.01366710,-23.45347000
0.01400045,-4.51673900
0.01433379,10.40681000
0.01466714,29.93866000
0.01500048,35.30991000
0.01533382,51.98828000
0.01566717,72.31360000
0.01600051,77.04398000
0.01633386,49.88250000
0.01666720,69.09390000
0.01700054,59.06857000
0.01733389,48.02087000
0.01766723,60.51820000
0.01800058,51.78991000
0.01833392,32.73110000
0.01866726,15.15244000
0.01900061,-8.17896000
0.01933395,-25.87969000
0.01966730,-41.18472000
0.02000064,-57.69524000
0.02033398,-53.55998000
0.02066733,-62.44087000
0.02100067,-65.09598000
0.02133402,-78.49361000
0.02166736,-72.13049000
0.02200070,-83.19345000
0.02233405,-66.13361000
0.02266739,-60.45716000
0.02300074,-62.12042000
0.02333408,-60.57924000
0.02366742,-37.03421000
0.02400077,-5.61540600
0.02433411,30.21332000
0.02466746,39.35361000
0.02500080,42.22235000
0.02533414,44.49598000
0.02566749,41.23050000
0.02600083,51.71361000
0.02633418,66.11835000
0.02666752,54.93332000
0.02700086,53.30058000
0.02733421,68.22412000
0.02766755,49.48576000
0.02800090,39.18576000
0.02833424,30.91525000
0.02866758,13.67229000
0.02900093,-8.33155300
0.02933427,-13.48918000
0.02966762,-31.61717000
0.03000096,-38.33125000
0.03033430,-49.97406000
0.03066765,-66.75923000
0.03100099,-66.24042000
0.03133434,-46.14398000
0.03166768,-66.89657000
0.03200103,-35.47777000
0.03233437,-57.61894000
0.03266771,-67.38486000
0.03300106,-41.94769000
0.03333440,-30.22858000
0.03366775,-19.76073000
0.03400109,-10.92563000
0.03433443,12.08533000
0.03466778,27.90917000
0.03500112,41.29154000
0.03533447,51.24057000
0.03566781,60.48768000
0.03600115,78.72249000
0.03633450,66.25568000
0.03666784,57.25272000
0.03700119,58.24457000
0.03733453,73.41227000
0.03766787,56.70338000
0.03800122,43.09213000
0.03833456,27.16147000
0.03866791,8.97244200
0.03900125,-4.62355400
0.03933459,-20.70681000
0.03966794,-35.88977000
0.04000128,-45.77776000
0.04033463,-55.10117000
0.04066797,-58.13776000
0.04100131,-70.17731000
0.04133466,-75.80797000
0.04166800,-85.28397000
0.04200135,-78.47834000
0.04233469,-71.62694000
0.04266803,-48.41761000
0.04300138,-41.76458000
0.04333472,-38.16339000
0.04366807,-28.35169000
0.04400141,-11.41392000
0.04433475,20.49318000
0.04466810,38.17865000
0.04500144,52.67495000
0.04533479,52.98013000
0.04566813,66.68294000
0.04600147,53.75835000
0.04633482,59.83154000
0.04666816,62.91391000
0.04700151,57.29850000
0.04733485,54.79598000
0.04766819,50.29450000
0.04800154,56.30664000
0.04833488,37.44621000
0.04866823,12.39051000
0.04900157,-4.57777600
0.04933491,-17.82281000
0.04966826,-34.36384000
0.05000160,-58.99228000
0.05033495,-64.91286000
0.05066829,-60.94546000
0.05100163,-56.68813000
0.05133498,-54.96383000
0.05166832,-68.25465000
0.05200167,-52.98013000
0.05233501,-47.01376000
0.05266835,-53.28531000
0.05300170,-47.51731000
0.05333504,-34.15021000
0.05366839,-24.49110000
0.05400173,-17.54814000
0.05433507,4.88296100
0.05466842,25.83392000
0.05500176,38.63643000
0.05533511,47.37998000
