Time,Channel A
(s),(mV)

0.00000000,-76.17419000
0.00033334,-82.41523000
0.00066669,-92.62366000
0.00100003,-105.39570000
0.00133338,-112.06400000
0.00166672,-111.04160000
0.00200006,-110.64480000
0.00233341,-118.07610000
0.00266675,-110.27860000
0.00300010,-100.40590000
0.00333344,-93.58500000
0.00366678,-101.99290000
0.00400013,-72.75612000
0.00433347,-51.49998000
0.00466682,-30.06073000
0.00500016,-11.20029000
0.00533350,-5.31022000
0.00566685,-7.53807100
0.00600019,12.90933000
0.00633354,19.02829000
0.00666688,6.86666400
0.00700022,18.76888000
0.00733357,16.73940000
0.00766691,11.53600000
0.00800026,11.67333000
0.00833360,-3.35703600
0.00866694,-16.08325000
0.00900029,-38.10236000
0.00933363,-54.59761000
0.00966698,-66.65242000
0.01000032,-82.24738000
0.01033366,-74.55671000
0.01066701,-87.09982000
0.01100035,-103.47300000
0.01133370,-104.83110000
0.01166704,-100.97050000
0.01200038,-95.75182000
0.01233373,-91.60130000
0.01266707,-103.65610000
0.01300042,-81.53020000
0.01333376,-67.61375000
0.01366710,-63.55479000
0.01400045,-55.77257000
0.01433379,-45.59465000
0.01466714,-25.22355000
0.01500048,-6.71407200
0.01533382,6.65303500
0.01566717,1.95318400
0.01600051,9.90325500
0.01633386,24.30799000
0.01666720,9.97955200
0.01700054,18.60103000
0.01733389,10.17792000
0.01766723,2.10577700
0.01800058,-0.97659220
0.01833392,-14.75570000
0.01866726,-17.62444000
0.01900061,-44.06873000
0.01933395,-59.25168000
0.01966730,-71.06235000
0.02000064,-75.48753000
0.02033398,-90.59419000
0.02066733,-95.06515000
0.02100067,-102.74060000
0.02133402,-113.63570000
0.02166736,-108.50860000
0.02200070,-117.11480000
0.02233405,-114.90220000
0.02266739,-117.20630000
0.02300074,-92.92886000
0.02333408,-93.12722000
0.02366742,-86.01641000
0.02400077,-64.53138000
0.02433411,-38.54488000
0.02466746,-19.34873000
0.02500080,-0.44251840
0.02533414,-1.20548100
0.02566749,-6.91244200
0.02600083,-11.79540000
0.02633418,13.59600000
0.02666752,18.08221000
0.02700086,20.96622000
0.02733421,5.93585000
0.02766755,17.71599000
0.02800090,15.21348000
0.02833424,-4.36414700
0.02866758,-19.88281000
0.02900093,-24.38429000
0.02933427,-56.03198000
0.02966762,-61.44901000
0.03000096,-79.36338000
0.03033430,-91.40293000
0.03066765,-98.30012000
0.03100099,-92.51685000
0.03133434,-95.29404000
0.03166768,-97.47611000
0.03200103,-97.14041000
0.03233437,-95.24826000
0.03266771,-99.49034000
0.03300106,-100.89420000
0.03333440,-93.75285000
0.03366775,-79.10397000
0.03400109,-72.96975000
0.03433443,-47.83776000
0.03466778,-38.30073000
0.03500112,-24.47584000
0.03533447,-19.82177000
0.03566781,10.52888000
0.03600115,14.32844000
0.03633450,9.21658900
0.03666784,6.33259000
0.03700119,8.91140500
0.03733453,20.06592000
0.03766787,4.91348000
0.03800122,-2.60933200
0.03833456,-13.97748000
0.03866791,-33.00576000
0.03900125,-40.31495000
0.03933459,-55.04013000
0.03966794,-64.53138000
0.04000128,-87.23715000
0.04033463,-89.17508000
0.04066797,-98.65108000
0.04100131,-99.23093000
0.04133466,-114.97850000
0.04166800,-120.05980000
0.04200135,-110.70590000
0.04233469,-119.58680000
0.04266803,-110.70590000
0.04300138,-95.64500000
0.04333472,-96.74367000
0.04366807,-96.95730000
0.04400141,-81.72856000
0.04433475,-56.01672000
0.04466810,-26.65792000
0.04500144,-13.48918000
0.04533479,-11.59703000
0.04566813,2.07525800
0.04600147,3.11288800
0.04633482,24.15540000
0.04666816,2.12103600
0.04700151,12.74148000
0.04733485,10.37629000
0.04766819,-0.38148130
0.04800154,-3.03659200
0.04833488,-2.01422100
0.04866823,-24.01807000
0.04900157,-36.80532000
0.04933491,-61.40324000
0.04966826,-77.10501000
0.05000160,-86.67256000
0.05033495,-94.25641000
0.05066829,-102.14540000
0.05100163,-108.14230000
0.05133498,-105.04470000
0.05166832,-93.29507000
0.05200167,-112.27760000
0.05233501,-99.87182000
0.05266835,-99.12411000
0.05300170,-108.66110000
0.05333504,-91.31138000
0.05366839,-79.10397000
0.05400173,-67.79687000
0.05433507,-51.98828000
