Time,Channel A
(s),(mV)

0.00000000,-83.59019000
0.00033334,-68.11731000
0.00066669,-64.14990000
0.00100003,-57.20694000
0.00133338,-41.90191000
0.00166672,-39.23154000
0.00200006,-28.01599000
0.00233341,-2.89925800
0.00266675,14.49629000
0.00300010,18.18903000
0.00333344,25.39140000
0.00366678,24.87259000
0.00400013,28.10754000
0.00433347,22.98043000
0.00466682,32.36488000
0.00500016,20.20325000
0.00533350,22.64473000
0.00566685,15.42711000
0.00600019,7.38547900
0.00633354,1.63274000
0.00666688,-9.73540400
0.00700022,-37.01895000
0.00733357,-52.29346000
0.00766691,-60.18250000
0.00800026,-77.99004000
0.00833360,-92.73048000
0.00866694,-88.54945000
0.00900029,-81.51494000
0.00933363,-102.26750000
0.00966698,-98.89523000
0.01000032,-99.21567000
0.01033366,-95.59923000
0.01066701,-95.62975000
0.01100035,-94.48530000
0.01133370,-81.33183000
0.01166704,-65.50797000
0.01200038,-42.14606000
0.01233373,-21.88177000
0.01266707,-13.32133000
0.01300042,1.80059200
0.01333376,21.60710000
0.01366710,28.64162000
0.01400045,29.17569000
0.01433379,28.29066000
0.01466714,35.56932000
0.01500048,32.34962000
0.01533382,22.47688000
0.01566717,29.09940000
0.01600051,15.15244000
0.01633386,7.50755300
0.01666720,-19.18088000
0.01700054,-40.65065000
0.01733389,-51.48472000
0.01766723,-59.98413000
0.01800058,-69.18546000
0.01833392,-84.62782000
0.01866726,-85.39079000
0.01900061,-81.72856000
0.01933395,-80.91982000
0.01966730,-88.25953000
0.02000064,-82.41523000
0.02033398,-79.74487000
0.02066733,-86.26056000
0.02100067,-71.79479000
0.02133402,-58.39716000
0.02166736,-41.24576000
0.02200070,-25.54399000
0.02233405,-7.82799700
0.02266739,4.39466500
0.02300074,-3.25022100
0.02333408,17.34977000
0.02366742,28.87051000
0.02400077,34.47065000
0.02433411,27.98547000
0.02466746,37.65984000
0.02500080,29.69451000
0.02533414,18.69258000
0.02566749,24.03333000
0.02600083,17.71599000
0.02633418,4.60829400
0.02666752,-15.04562000
0.02700086,-40.54384000
0.02733421,-53.84991000
0.02766755,-66.04205000
0.02800090,-81.54546000
0.02833424,-81.05716000
0.02866758,-93.70708000
0.02900093,-99.24619000
0.02933427,-92.60841000
0.02966762,-108.95110000
0.03000096,-89.75494000
0.03033430,-104.34280000
0.03066765,-98.23907000
0.03100099,-84.00219000
0.03133434,-67.20175000
0.03166768,-60.09094000
0.03200103,-39.17051000
0.03233437,-19.21140000
0.03266771,1.64799900
0.03300106,21.86651000
0.03333440,23.22458000
0.03366775,33.29569000
0.03400109,25.65080000
0.03433443,35.30991000
0.03466778,29.51140000
0.03500112,36.98843000
0.03533447,23.74340000
0.03566781,17.25822000
0.03600115,18.29585000
0.03633450,0.10681480
0.03666784,-14.37422000
0.03700119,-30.99154000
0.03733453,-41.65776000
0.03766787,-59.32798000
0.03800122,-72.66457000
0.03833456,-72.42042000
0.03866791,-79.88219000
0.03900125,-88.62575000
0.03933459,-71.18443000
0.03966794,-85.86382000
0.04000128,-74.43464000
0.04033463,-85.08559000
0.04066797,-77.89849000
0.04100131,-65.85894000
0.04133466,-48.02087000
0.04166800,-35.44725000
0.04200135,-17.10562000
0.04233469,-8.43836700
0.04266803,8.57570100
0.04300138,19.53185000
0.04333472,25.58977000
0.04366807,30.06073000
0.04400141,19.36399000
0.04433475,35.46251000
0.04466810,27.43614000
0.04500144,39.38414000
0.04533479,27.72606000
0.04566813,20.12696000
0.04600147,5.93585000
0.04633482,-3.08236900
0.04666816,-20.73733000
0.04700151,-40.62014000
0.04733485,-51.43894000
0.04766819,-63.46324000
0.04800154,-76.96767000
0.04833488,-84.21582000
0.04866823,-91.69286000
0.04900157,-94.92782000
0.04933491,-96.91152000
0.04966826,-103.15250000
0.05000160,-92.21167000
0.05033495,-104.22070000
0.05066829,-84.85671000
0.05100163,-74.41938000
0.05133498,-67.12546000
0.05166832,-60.47242000
0.05200167,-23.13303000
0.05233501,-6.07318300
0.05266835,4.51673900
0.05300170,16.69362000
0.05333504,17.63970000
0.05366839,16.90725000
0.05400173,31.02206000
0.05433507,47.15109000
0.05466842,26.82577000
0.05500176,35.87451000
