Time,Channel A
(s),(mV)

0.00000000,0.13733330
0.00033334,-24.93362000
0.00066669,-30.89999000
0.00100003,-33.95184000
0.00133338,-43.97717000
0.00166672,-56.33717000
0.00200006,-62.57820000
0.00233341,-41.15421000
0.00266675,-61.95257000
0.00300010,-49.19584000
0.00333344,-45.56413000
0.00366678,-52.18665000
0.00400013,-46.75435000
0.00433347,-22.79733000
0.00466682,-3.69273900
0.00500016,20.63051000
0.00533350,46.00665000
0.00566685,62.13568000
0.00600019,61.12857000
0.00633354,59.80102000
0.00666688,56.13879000
0.00700022,73.50382000
0.00733357,68.74294000
0.00766691,65.72160000
0.00800026,59.66368000
0.00833360,65.75212000
0.00866694,58.27509000
0.00900029,42.86324000
0.00933363,36.95791000
0.00966698,3.66222100
0.01000032,-12.28370000
0.01033366,-22.40059000
0.01066701,-25.92547000
0.01100035,-36.07288000
0.01133370,-45.36576000
0.01166704,-58.42768000
0.01200038,-78.37153000
0.01233373,-66.39301000
0.01266707,-82.90353000
0.01300042,-67.87316000
0.01333376,-73.18338000
0.01366710,-73.22916000
0.01400045,-57.74102000
0.01433379,-49.76043000
0.01466714,-41.96295000
0.01500048,0.85451820
0.01533382,29.63347000
0.01566717,38.13287000
0.01600051,55.52842000
0.01633386,62.63924000
0.01666720,65.95049000
0.01700054,74.57197000
0.01733389,63.31064000
0.01766723,79.13449000
0.01800058,54.06354000
0.01833392,53.75835000
0.01866726,66.39301000
0.01900061,50.24873000
0.01933395,32.07495000
0.01966730,14.19111000
0.02000064,-1.08340700
0.02033398,-27.46666000
0.02066733,-39.09421000
0.02100067,-45.97613000
0.02133402,-56.32190000
0.02166736,-48.29554000
0.02200070,-58.10724000
0.02233405,-45.38102000
0.02266739,-65.27908000
0.02300074,-41.61198000
0.02333408,-44.06873000
0.02366742,-52.52235000
0.02400077,-45.06058000
0.02433411,-36.74428000
0.02466746,-15.32029000
0.02500080,11.53600000
0.02533414,39.47569000
0.02566749,56.03198000
0.02600083,58.83968000
0.02633418,58.50398000
0.02666752,62.21198000
0.02700086,77.71538000
0.02733421,58.54976000
0.02766755,76.83035000
0.02800090,62.19672000
0.02833424,58.87020000
0.02866758,58.00042000
0.02900093,51.56102000
0.02933427,30.53377000
0.02966762,18.95199000
0.03000096,-14.70992000
0.03033430,-37.90398000
0.03066765,-48.05139000
0.03100099,-54.64339000
0.03133434,-53.14798000
0.03166768,-57.67998000
0.03200103,-86.79464000
0.03233437,-66.51508000
0.03266771,-93.17300000
0.03300106,-70.03998000
0.03333440,-71.23020000
0.03366775,-59.51109000
0.03400109,-56.61183000
0.03433443,-55.13169000
0.03466778,-35.63036000
0.03500112,0.44251840
0.03533447,26.42903000
0.03566781,53.36161000
0.03600115,56.09302000
0.03633450,60.96072000
0.03666784,62.91391000
0.03700119,72.51197000
0.03733453,57.42057000
0.03766787,71.32175000
0.03800122,66.80502000
0.03833456,61.06753000
0.03866791,59.40428000
0.03900125,57.51213000
0.03933459,29.99969000
0.03966794,13.15348000
0.04000128,-0.94607370
0.04033463,-15.83911000
0.04066797,-35.73717000
0.04100131,-50.56916000
0.04133466,-47.21213000
0.04166800,-51.05746000
0.04200135,-55.90990000
0.04233469,-39.18576000
0.04266803,-61.06753000
0.04300138,-52.87331000
0.04333472,-40.83376000
0.04366807,-35.38621000
0.04400141,-20.35585000
0.04433475,-8.63673800
0.04466810,10.22370000
0.04500144,32.88369000
0.04533479,41.90191000
0.04566813,43.65673000
0.04600147,58.90072000
0.04633482,65.56902000
0.04666816,80.90456000
0.04700151,62.34931000
0.04733485,65.56902000
0.04766819,65.18753000
0.04800154,72.40516000
0.04833488,54.59761000
0.04866823,51.39317000
0.04900157,33.12784000
0.04933491,17.25822000
0.04966826,3.49436900
0.05000160,-18.70784000
0.05033495,-34.59273000
0.05066829,-45.21317000
0.05100163,-55.84887000
0.05133498,-58.85494000
0.05166832,-56.23035000
0.05200167,-76.52515000
0.05233501,-68.97182000
0.05266835,-87.34397000
0.05300170,-63.76842000
0.05333504,-62.21198000
0.05366839,-55.45213000
0.05400173,-52.64442000
0.05433507,-43.54991000
0.05466842,-22.73629000
0.05500176,16.84622000
0.05533511,42.25287000
