Time,Channel A
(s),(mV)

0.00000000,30.44221000
0.00033334,2.13629600
0.00066669,-6.25629400
0.00100003,-25.07096000
0.00133338,-49.76043000
0.00166672,-60.48768000
0.00200006,-69.07864000
0.00233341,-70.05524000
0.00266675,-70.71139000
0.00300010,-81.49968000
0.00333344,-89.37345000
0.00366678,-72.37463000
0.00400013,-75.83849000
0.00433347,-72.54249000
0.00466682,-51.05746000
0.00500016,-38.68221000
0.00533350,-34.02814000
0.00566685,-21.94281000
0.00600019,-0.36622210
0.00633354,20.31007000
0.00666688,32.01391000
0.00700022,40.77273000
0.00733357,60.02991000
0.00766691,66.68294000
0.00800026,67.47642000
0.00833360,71.96265000
0.00866694,53.48368000
0.00900029,67.32383000
0.00933363,57.11539000
0.00966698,42.60384000
0.01000032,39.32310000
0.01033366,21.68340000
0.01066701,7.17184900
0.01100035,-5.75273800
0.01133370,-28.30592000
0.01166704,-33.79925000
0.01200038,-53.33109000
0.01233373,-55.34531000
0.01266707,-78.66145000
0.01300042,-71.06235000
0.01333376,-74.14471000
0.01366710,-65.82842000
0.01400045,-50.14191000
0.01433379,-61.69316000
0.01466714,-61.57109000
0.01500048,-46.15924000
0.01533382,-41.01687000
0.01566717,-35.73717000
0.01600051,9.35392200
0.01633386,23.34666000
0.01666720,35.40147000
0.01700054,30.42695000
0.01733389,44.98428000
0.01766723,70.19257000
0.01800058,45.53362000
0.01833392,75.68590000
0.01866726,48.70754000
0.01900061,71.82531000
0.01933395,54.04828000
0.01966730,49.05850000
0.02000064,30.51851000
0.02033398,16.51051000
0.02066733,-3.35703600
0.02100067,-19.50133000
0.02133402,-36.79006000
0.02166736,-54.18561000
0.02200070,-58.91598000
0.02233405,-81.05716000
0.02266739,-74.61775000
0.02300074,-67.23227000
0.02333408,-85.32975000
0.02366742,-86.97775000
0.02400077,-95.99596000
0.02433411,-69.61272000
0.02466746,-61.84576000
0.02500080,-67.93420000
0.02533414,-53.88042000
0.02566749,-28.12280000
0.02600083,-10.94088000
0.02633418,13.90118000
0.02666752,22.58370000
0.02700086,41.44413000
0.02733421,53.89569000
0.02766755,69.75005000
0.02800090,45.83880000
0.02833424,59.87731000
0.02866758,54.55183000
0.02900093,69.67375000
0.02933427,67.91894000
0.02966762,54.42976000
0.03000096,32.92947000
0.03033430,13.77911000
0.03066765,-3.60118400
0.03100099,-11.01718000
0.03133434,-24.88784000
0.03166768,-40.62014000
0.03200103,-49.74517000
0.03233437,-60.44190000
0.03266771,-72.26782000
0.03300106,-60.67079000
0.03333440,-81.24027000
0.03366775,-58.15302000
0.03400109,-69.23124000
0.03433443,-65.35538000
0.03466778,-52.14087000
0.03500112,-31.83080000
0.03533447,-21.51555000
0.03566781,-7.24814600
0.03600115,23.11777000
0.03633450,32.04443000
0.03666784,35.14206000
0.03700119,39.94873000
0.03733453,39.84191000
0.03766787,52.50709000
0.03800122,69.17020000
0.03833456,61.64738000
0.03866791,59.43480000
0.03900125,66.80502000
0.03933459,50.82857000
0.03966794,42.39021000
0.04000128,30.56429000
0.04033463,16.14429000
0.04066797,-7.27866400
0.04100131,-20.14222000
0.04133466,-33.11258000
0.04166800,-47.99035000
0.04200135,-65.24857000
0.04233469,-63.00546000
0.04266803,-66.31672000
0.04300138,-82.64411000
0.04333472,-86.18427000
0.04366807,-78.60042000
0.04400141,-94.40900000
0.04433475,-73.45805000
0.04466810,-55.04013000
0.04500144,-58.44294000
0.04533479,-51.08798000
0.04566813,-28.10754000
0.04600147,6.14947900
0.04633482,10.48311000
0.04666816,33.90606000
0.04700151,41.15421000
0.04733485,42.25287000
0.04766819,50.79805000
0.04800154,58.59554000
0.04833488,60.77761000
0.04866823,50.14191000
0.04900157,67.23227000
0.04933491,54.17035000
0.04966826,41.94769000
0.05000160,38.97213000
0.05033495,18.28059000
0.05066829,5.79851600
0.05100163,-9.84221800
0.05133498,-29.08414000
0.05166832,-35.12680000
0.05200167,-53.22428000
0.05233501,-59.87731000
0.05266835,-63.47850000
0.05300170,-77.77642000
0.05333504,-70.90975000
0.05366839,-59.34324000
0.05400173,-72.55775000
0.05433507,-68.20886000
0.05466842,-50.43184000
0.05500176,-26.85629000
0.05533511,-21.82073000
