Time,Channel A
(s),(mV)

0.00000000,58.87020000
0.00033334,89.92278000
0.00066669,118.13710000
0.00100003,124.43920000
0.00133338,148.56410000
0.00166672,143.62010000
0.00200006,141.02600000
0.00233341,159.24560000
0.00266675,142.30780000
0.00300010,144.16940000
0.00333344,144.61190000
0.00366678,152.83670000
0.00400013,143.92530000
0.00433347,118.19820000
0.00466682,89.44975000
0.00500016,79.40916000
0.00533350,50.99643000
0.00566685,24.46058000
0.00600019,13.50444000
0.00633354,10.13214000
0.00666688,10.42207000
0.00700022,4.71510900
0.00733357,-0.45777760
0.00766691,12.49733000
0.00800026,3.78429500
0.00833360,-1.51066600
0.00866694,22.88888000
0.00900029,43.71776000
0.00933363,44.99954000
0.00966698,74.87716000
0.01000032,92.79152000
0.01033366,116.91640000
0.01066701,133.25910000
0.01100035,144.38310000
0.01133370,158.55890000
0.01166704,158.49790000
0.01200038,152.27210000
0.01233373,163.07570000
0.01266707,140.14100000
0.01300042,148.74720000
0.01333376,160.61890000
0.01366710,139.65270000
0.01400045,125.01910000
0.01433379,108.79850000
0.01466714,91.23508000
0.01500048,69.85686000
0.01533382,52.23243000
0.01566717,24.85732000
0.01600051,17.13614000
0.01633386,8.80458900
0.01666720,13.00088000
0.01700054,-2.33466600
0.01733389,-20.93570000
0.01766723,-9.27762600
0.01800058,-10.25422000
0.01833392,3.81481300
0.01866726,22.18696000
0.01900061,22.32429000
0.01933395,44.02295000
0.01966730,65.56902000
0.02000064,89.22086000
0.02033398,102.09970000
0.02066733,124.89700000
0.02100067,134.51030000
0.02133402,134.43400000
0.02166736,145.51220000
0.02200070,155.96480000
0.02233405,146.09210000
0.02266739,158.95570000
0.02300074,155.26290000
0.02333408,135.63950000
0.02366742,139.36280000
0.02400077,114.67330000
0.02433411,93.21878000
0.02466746,74.77034000
0.02500080,57.64946000
0.02533414,45.50310000
0.02566749,34.53169000
0.02600083,24.84207000
0.02633418,7.24814600
0.02666752,-8.46888600
0.02700086,3.69273900
0.02733421,7.69066400
0.02766755,5.40177600
0.02800090,9.62859000
0.02833424,18.53999000
0.02866758,16.81570000
0.02900093,22.85836000
0.02933427,51.39317000
0.02966762,74.43464000
0.03000096,100.43640000
0.03033430,119.58680000
0.03066765,121.17370000
0.03100099,134.78500000
0.03133434,136.99760000
0.03166768,155.93430000
0.03200103,151.34130000
0.03233437,150.30360000
0.03266771,147.00760000
0.03300106,157.64340000
0.03333440,137.66900000
0.03366775,129.70370000
0.03400109,113.25420000
0.03433443,87.66441000
0.03466778,65.98101000
0.03500112,53.54472000
0.03533447,36.07288000
0.03566781,30.36592000
0.03600115,31.49510000
0.03633450,5.46281300
0.03666784,-13.73333000
0.03700119,-7.49229400
0.03733453,-17.04459000
0.03766787,-26.24592000
0.03800122,-16.84622000
0.03833456,0.16785180
0.03866791,19.19614000
0.03900125,28.03125000
0.03933459,16.02221000
0.03966794,44.26710000
0.04000128,72.42042000
0.04033463,107.25730000
0.04066797,125.79730000
0.04100131,142.21620000
0.04133466,139.91210000
0.04166800,143.83370000
0.04200135,153.03500000
0.04233469,149.70850000
0.04266803,152.95880000
0.04300138,145.25280000
0.04333472,155.17140000
0.04366807,147.86220000
0.04400141,129.29170000
0.04433475,89.95330000
0.04466810,79.86694000
0.04500144,46.09821000
0.04533479,34.22651000
0.04566813,24.18592000
0.04600147,16.32740000
0.04633482,-0.77822200
0.04666816,-1.99896200
0.04700151,11.53600000
0.04733485,-9.72014400
0.04766819,12.75674000
0.04800154,3.73851700
0.04833488,3.37229500
0.04866823,30.89999000
0.04900157,38.60591000
0.04933491,57.67998000
0.04966826,74.28204000
0.05000160,109.86660000
0.05033495,122.31820000
0.05066829,130.52760000
0.05100163,136.76870000
0.05133498,148.33520000
0.05166832,143.40650000
0.05200167,152.48570000
0.05233501,145.19180000
0.05266835,148.82350000
0.05300170,142.84190000
0.05333504,141.46860000
0.05366839,145.16130000
0.05400173,116.21450000
0.05433507,100.40590000
0.05466842,81.08768000
0.05500176,60.09094000
0.05533511,28.64162000
0.05566845,13.67229000
0.05600179,1.80059200
0.05633514,7.55333000
0.05666848,3.06711000
0.05700183,-11.10874000
0.05733517,-25.52873000
