Time,Channel A
(s),(mV)

0.00000000,209.76900000
0.00033334,224.20420000
0.00066669,223.19710000
0.00100003,196.98170000
0.00133338,196.27980000
0.00166672,208.07520000
0.00200006,197.68360000
0.00233341,202.87180000
0.00266675,217.24600000
0.00300010,203.54320000
0.00333344,183.56880000
0.00366678,162.37370000
0.00400013,137.91310000
0.00433347,118.90010000
0.00466682,106.75370000
0.00500016,88.67152000
0.00533350,73.71745000
0.00566685,62.94442000
0.00600019,62.34931000
0.00633354,48.69228000
0.00666688,52.04931000
0.00700022,41.07791000
0.00733357,49.40947000
0.00766691,38.91110000
0.00800026,43.38206000
0.00833360,55.80309000
0.00866694,81.49968000
0.00900029,93.85966000
0.00933363,103.79340000
0.00966698,130.78710000
0.01000032,157.81120000
0.01033366,176.00020000
0.01066701,198.21770000
0.01100035,216.68140000
0.01133370,202.15460000
0.01166704,200.91860000
0.01200038,224.98240000
0.01233373,207.46480000
0.01266707,202.42930000
0.01300042,202.33770000
0.01333376,182.16500000
0.01366710,167.04300000
0.01400045,150.02900000
0.01433379,117.29790000
0.01466714,111.60620000
0.01500048,86.45893000
0.01533382,64.07360000
0.01566717,59.54161000
0.01600051,59.89257000
0.01633386,57.84783000
0.01666720,56.12354000
0.01700054,70.94028000
0.01733389,48.69228000
0.01766723,68.26991000
0.01800058,76.05212000
0.01833392,102.35910000
0.01866726,108.70690000
0.01900061,130.64970000
0.01933395,152.53150000
0.01966730,161.32080000
0.02000064,171.08670000
0.02033398,185.82720000
0.02066733,217.49010000
0.02100067,227.53070000
0.02133402,195.18110000
0.02166736,212.43930000
0.02200070,211.70690000
0.02233405,217.07820000
0.02266739,217.07820000
0.02300074,187.50570000
0.02333408,160.51210000
0.02366742,144.29150000
0.02400077,132.29770000
0.02433411,119.75460000
0.02466746,92.66945000
0.02500080,81.69804000
0.02533414,77.63908000
0.02566749,55.74205000
0.02600083,56.27613000
0.02633418,38.42280000
0.02666752,55.20798000
0.02700086,20.20325000
0.02733421,40.68117000
0.02766755,57.35954000
0.02800090,67.49168000
0.02833424,48.95169000
0.02866758,78.78353000
0.02900093,102.60320000
0.02933427,140.96500000
0.02966762,162.87730000
0.03000096,179.02160000
0.03033430,195.79150000
0.03066765,190.43550000
0.03100099,189.51990000
0.03133434,210.11990000
0.03166768,198.50760000
0.03200103,217.15440000
0.03233437,199.39270000
0.03266771,191.83930000
0.03300106,199.01120000
0.03333440,178.38070000
0.03366775,155.17140000
0.03400109,129.27640000
0.03433443,111.08740000
0.03466778,94.92782000
0.03500112,77.25760000
0.03533447,66.37775000
0.03566781,67.56798000
0.03600115,65.95049000
0.03633450,46.11346000
0.03666784,64.08886000
0.03700119,58.93124000
0.03733453,60.38087000
0.03766787,49.89776000
0.03800122,59.16013000
0.03833456,79.43967000
0.03866791,105.22780000
0.03900125,115.90930000
0.03933459,117.77090000
0.03966794,134.12880000
0.04000128,170.36960000
0.04033463,183.67560000
0.04066797,189.76410000
0.04100131,210.04360000
0.04133466,221.03030000
0.04166800,191.29000000
0.04200135,216.58990000
0.04233469,191.16790000
0.04266803,191.56470000
0.04300138,181.79880000
0.04333472,165.97490000
0.04366807,153.49280000
0.04400141,123.08110000
0.04433475,109.91240000
0.04466810,91.32664000
0.04500144,68.95657000
0.04533479,52.67495000
0.04566813,51.68309000
0.04600147,53.25480000
0.04633482,44.60280000
0.04666816,22.90414000
0.04700151,50.37080000
0.04733485,36.07288000
0.04766819,26.36799000
0.04800154,51.53050000
0.04833488,69.94842000
0.04866823,100.87890000
0.04900157,108.92060000
0.04933491,120.25820000
0.04966826,145.55800000
0.05000160,179.38780000
0.05033495,189.27580000
0.05066829,202.93280000
0.05100163,216.01000000
0.05133498,196.11190000
0.05166832,208.85340000
0.05200167,205.74050000
0.05233501,206.79340000
0.05266835,200.85760000
0.05300170,196.38660000
0.05333504,165.66970000
0.05366839,152.82140000
0.05400173,133.41170000
0.05433507,116.79430000
0.05466842,94.98885000
0.05500176,89.43449000
0.05533511,72.13049000
0.05566845,67.30857000
0.05600179,43.35154000
0.05633514,49.86724000
0.05666848,61.23539000
0.05700183,34.15021000
0.05733517,56.13879000
0.05766851,71.15390000
0.05800186,81.53020000
