Time,Channel A
(s),(mV)

0.00000000,-22.40059000
0.00033334,-33.23465000
0.00066669,-35.72192000
0.00100003,-38.40754000
0.00133338,-47.85302000
0.00166672,-43.71776000
0.00200006,-47.42576000
0.00233341,-47.27317000
0.00266675,-44.43495000
0.00300010,-31.64769000
0.00333344,-40.81850000
0.00366678,-28.59584000
0.00400013,-7.20236800
0.00433347,31.41880000
0.00466682,48.12769000
0.00500016,53.65154000
0.00533350,65.81316000
0.00566685,69.78057000
0.00600019,89.02249000
0.00633354,84.45997000
0.00666688,81.82011000
0.00700022,72.51197000
0.00733357,89.80071000
0.00766691,76.32679000
0.00800026,57.32902000
0.00833360,43.67199000
0.00866694,33.03629000
0.00900029,20.18799000
0.00933363,5.53910900
0.00966698,-10.43733000
0.01000032,-19.24192000
0.01033366,-18.03644000
0.01066701,-49.16532000
0.01100035,-45.27421000
0.01133370,-32.62428000
0.01166704,-38.37702000
0.01200038,-35.05051000
0.01233373,-34.02814000
0.01266707,-43.04636000
0.01300042,-24.82681000
0.01333376,-11.04770000
0.01366710,5.95110900
0.01400045,-1.32755500
0.01433379,23.77392000
0.01466714,32.94473000
0.01500048,49.72991000
0.01533382,53.08694000
0.01566717,63.46324000
0.01600051,76.70827000
0.01633386,69.58220000
0.01666720,61.05227000
0.01700054,78.08160000
0.01733389,70.05524000
0.01766723,56.73391000
0.01800058,55.40635000
0.01833392,27.31407000
0.01866726,20.21851000
0.01900061,9.44547800
0.01933395,-13.09244000
0.01966730,-12.23792000
0.02000064,-35.00473000
0.02033398,-49.31791000
0.02066733,-50.79805000
0.02100067,-55.37583000
0.02133402,-58.64131000
0.02166736,-61.69316000
0.02200070,-59.40428000
0.02233405,-67.70531000
0.02266739,-51.63731000
0.02300074,-35.50829000
0.02333408,-26.70370000
0.02366742,-10.11689000
0.02400077,1.83111000
0.02433411,14.48103000
0.02466746,27.72606000
0.02500080,39.78088000
0.02533414,56.27613000
0.02566749,75.41123000
0.02600083,72.11523000
0.02633418,67.36961000
0.02666752,71.91687000
0.02700086,67.62901000
0.02733421,65.58427000
0.02766755,77.21182000
0.02800090,62.95968000
0.02833424,45.53362000
0.02866758,32.79214000
0.02900093,15.85437000
0.02933427,-0.85451820
0.02966762,-16.57155000
0.03000096,-18.64681000
0.03033430,-27.89392000
0.03066765,-32.97525000
0.03100099,-42.16132000
0.03133434,-50.55391000
0.03166768,-39.04843000
0.03200103,-48.98220000
0.03233437,-29.08414000
0.03266771,-30.07599000
0.03300106,-21.07303000
0.03333440,-11.52074000
0.03366775,-6.14947900
0.03400109,18.70784000
0.03433443,19.79125000
0.03466778,47.31895000
0.03500112,72.60352000
0.03533447,75.21286000
0.03566781,68.91079000
0.03600115,66.94234000
0.03633450,82.97982000
0.03666784,74.12946000
0.03700119,89.67863000
0.03733453,76.69301000
0.03766787,65.91998000
0.03800122,53.10220000
0.03833456,38.74324000
0.03866791,31.81555000
0.03900125,20.26429000
0.03933459,2.19733300
0.03966794,-10.51363000
0.04000128,-24.87259000
0.04033463,-38.68221000
0.04066797,-43.13791000
0.04100131,-43.10739000
0.04133466,-52.81228000
0.04166800,-54.59761000
0.04200135,-42.90902000
0.04233469,-65.64531000
0.04266803,-50.24873000
0.04300138,-35.12680000
0.04333472,-22.85836000
0.04366807,-13.85540000
0.04400141,7.90429400
0.04433475,33.35673000
0.04466810,58.24457000
0.04500144,68.71242000
0.04533479,69.47539000
0.04566813,70.92501000
0.04600147,70.52827000
0.04633482,87.54234000
0.04666816,79.43967000
0.04700151,82.78145000
0.04733485,81.10294000
0.04766819,79.18027000
0.04800154,59.69420000
0.04833488,47.92932000
0.04866823,29.46562000
0.04900157,19.76073000
0.04933491,-2.01422100
0.04966826,-3.09762900
0.05000160,-11.59703000
0.05033495,-33.31095000
0.05066829,-39.35361000
0.05100163,-43.41258000
0.05133498,-29.60295000
0.05166832,-31.32725000
0.05200167,-46.38813000
0.05233501,-32.34962000
0.05266835,-21.68340000
0.05300170,-7.06503400
0.05333504,-6.95822000
0.05366839,-0.80874040
0.05400173,17.04459000
0.05433507,42.51228000
0.05466842,59.28220000
0.05500176,64.24146000
0.05533511,67.91894000
0.05566845,56.85598000
