Time,Channel A
(s),(mV)

0.00000000,-14.28266000
0.00033334,2.53303600
0.00066669,-4.19629500
0.00100003,-1.28177700
0.00133338,16.37318000
0.00166672,25.71184000
0.00200006,47.07480000
0.00233341,72.23730000
0.00266675,100.55850000
0.00300010,113.34570000
0.00333344,133.68630000
0.00366678,132.43510000
0.00400013,112.52170000
0.00433347,128.77280000
0.00466682,139.91210000
0.00500016,122.31820000
0.00533350,121.57050000
0.00566685,112.88800000
0.00600019,96.33167000
0.00633354,68.33094000
0.00666688,54.04828000
0.00700022,24.94888000
0.00733357,16.61733000
0.00766691,6.17999800
0.00800026,-11.44444000
0.00833360,-14.87777000
0.00866694,-26.94784000
0.00900029,-28.30592000
0.00933363,-23.17881000
0.00966698,-37.84295000
0.01000032,-31.75451000
0.01033366,-40.57436000
0.01066701,-30.41169000
0.01100035,-14.98459000
0.01133370,9.93377500
0.01166704,43.06161000
0.01200038,63.73790000
0.01233373,94.21063000
0.01266707,105.86870000
0.01300042,102.69480000
0.01333376,119.37310000
0.01366710,132.70970000
0.01400045,132.89280000
0.01433379,120.04460000
0.01466714,126.95700000
0.01500048,131.35170000
0.01533382,126.81970000
0.01566717,124.42400000
0.01600051,99.00204000
0.01633386,84.21582000
0.01666720,66.88131000
0.01700054,42.48176000
0.01733389,19.05881000
0.01766723,3.67748000
0.01800058,-10.05585000
0.01833392,-12.37526000
0.01866726,-18.92147000
0.01900061,-23.22458000
0.01933395,-20.63051000
0.01966730,-28.00073000
0.02000064,-16.23585000
0.02033398,-13.39762000
0.02066733,-19.18088000
0.02100067,8.62147800
0.02133402,12.32948000
0.02166736,24.85732000
0.02200070,49.25687000
0.02233405,85.77226000
0.02266739,110.64480000
0.02300074,125.69050000
0.02333408,109.50040000
0.02366742,99.79552000
0.02400077,131.30590000
0.02433411,113.86450000
0.02466746,114.07820000
0.02500080,135.80740000
0.02533414,122.60810000
0.02566749,115.49730000
0.02600083,100.03970000
0.02633418,78.93612000
0.02666752,58.25983000
0.02700086,42.34443000
0.02733421,24.32325000
0.02766755,5.66118300
0.02800090,-3.38755400
0.02833424,-19.54710000
0.02866758,-26.47481000
0.02900093,-29.20621000
0.02933427,-42.25287000
0.02966762,-41.58147000
0.03000096,-32.39539000
0.03033430,-25.10147000
0.03066765,-28.96206000
0.03100099,-27.43614000
0.03133434,-18.81466000
0.03166768,28.50429000
0.03200103,56.45924000
0.03233437,93.49345000
0.03266771,115.00900000
0.03300106,116.33650000
0.03333440,107.40990000
0.03366775,113.19310000
0.03400109,132.55710000
0.03433443,113.04060000
0.03466778,133.03020000
0.03500112,123.88990000
0.03533447,126.88070000
0.03566781,118.03030000
0.03600115,94.82100000
0.03633450,87.86279000
0.03666784,62.24250000
0.03700119,49.89776000
0.03733453,20.79836000
0.03766787,11.58177000
0.03800122,0.44251840
0.03833456,-8.89614600
0.03866791,-10.37629000
0.03900125,-21.63762000
0.03933459,-37.61406000
0.03966794,-19.65392000
0.04000128,-34.95895000
0.04033463,1.14444400
0.04066797,13.97748000
0.04100131,24.20118000
0.04133466,29.49614000
0.04166800,42.46650000
0.04200135,49.30265000
0.04233469,79.91271000
0.04266803,89.02249000
0.04300138,103.88500000
0.04333472,116.84010000
0.04366807,133.38110000
0.04400141,116.18400000
0.04433475,136.67710000
0.04466810,113.84930000
0.04500144,127.07910000
0.04533479,121.44840000
0.04566813,109.48510000
0.04600147,103.65610000
0.04633482,77.37968000
0.04666816,56.91702000
0.04700151,32.28858000
0.04733485,7.37022000
0.04766819,3.11288800
0.04800154,-16.60207000
0.04833488,-34.24176000
0.04866823,-30.22858000
0.04900157,-32.16651000
0.04933491,-40.29969000
0.04966826,-38.97213000
0.05000160,-22.12592000
0.05033495,-20.75258000
0.05066829,-34.28754000
0.05100163,-29.64873000
0.05133498,-9.68962700
0.05166832,30.67110000
0.05200167,68.97182000
0.05233501,83.33078000
0.05266835,109.18000000
0.05300170,130.26820000
0.05333504,126.51450000
0.05366839,118.76280000
0.05400173,136.86020000
0.05433507,122.18080000
0.05466842,137.28750000
0.05500176,128.14720000
0.05533511,120.09030000
0.05566845,114.74960000
0.05600179,98.62056000
0.05633514,77.77642000
