Time,Channel A
(s),(V)

0.00000000,0.43824580
0.00033334,0.44740130
0.00066669,0.45442060
0.00100003,0.44373910
0.00133338,0.43397320
0.00166672,0.41016880
0.00200006,0.40833770
0.00233341,0.39857170
0.00266675,0.39674060
0.00300010,0.38789020
0.00333344,0.38148140
0.00366678,0.37568290
0.00400013,0.37568290
0.00433347,0.36103400
0.00466682,0.36133920
0.00500016,0.36225470
0.00533350,0.35706660
0.00566685,0.35035250
0.00600019,0.37568290
0.00633354,0.39704580
0.00666688,0.39277320
0.00700022,0.40803250
0.00733357,0.42359690
0.00766691,0.40711690
0.00800026,0.42878510
0.00833360,0.43824580
0.00866694,0.44434950
0.00900029,0.43977170
0.00933363,0.44282360
0.00966698,0.45228430
0.01000032,0.43488880
0.01033366,0.45045320
0.01066701,0.45808280
0.01100035,0.45106360
0.01133370,0.45075840
0.01166704,0.42909020
0.01200038,0.40559100
0.01233373,0.39948730
0.01266707,0.40345470
0.01300042,0.39582510
0.01333376,0.38758510
0.01366710,0.38209170
0.01400045,0.35462510
0.01433379,0.37537770
0.01466714,0.37842950
0.01500048,0.36988430
0.01533382,0.38880580
0.01566717,0.37781920
0.01600051,0.34485920
0.01633386,0.37446210
0.01666720,0.39246800
0.01700054,0.39460430
0.01733389,0.39979250
0.01766723,0.41840880
0.01800058,0.41627250
0.01833392,0.43488880
0.01866726,0.44282360
0.01900061,0.45258950
0.01933395,0.45960880
0.01966730,0.43366800
0.02000064,0.44007690
0.02033398,0.44862210
0.02066733,0.44251840
0.02100067,0.44465470
0.02133402,0.44343390
0.02166736,0.43214210
0.02200070,0.40803250
0.02233405,0.40742210
0.02266739,0.40986360
0.02300074,0.39338360
0.02333408,0.39216290
0.02366742,0.37263100
0.02400077,0.35889770
0.02433411,0.36225470
0.02466746,0.35889770
0.02500080,0.36072880
0.02533414,0.35737170
0.02566749,0.35309920
0.02600083,0.36957910
0.02633418,0.36774810
0.02666752,0.38575400
0.02700086,0.40803250
0.02733421,0.41535690
0.02766755,0.42542800
0.02800090,0.43031100
0.02833424,0.43763540
0.02866758,0.45258950
0.02900093,0.45838800
0.02933427,0.44892730
0.02966762,0.45136870
0.03000096,0.45411540
0.03033430,0.43916140
0.03066765,0.44618060
0.03100099,0.45564140
0.03133434,0.44679100
0.03166768,0.43397320
0.03200103,0.41779840
0.03233437,0.38392280
0.03266771,0.39277320
0.03300106,0.39948730
0.03333440,0.39613030
0.03366775,0.38178660
0.03400109,0.37476730
0.03433443,0.35920290
0.03466778,0.37568290
0.03500112,0.37049470
0.03533447,0.37476730
0.03566781,0.39063690
0.03600115,0.39185770
0.03633450,0.36805320
0.03666784,0.38483840
0.03700119,0.40955840
0.03733453,0.43092130
0.03766787,0.44343390
0.03800122,0.44251840
0.03833456,0.43885620
0.03866791,0.44801170
0.03900125,0.45381020
0.03933459,0.43946650
0.03966794,0.44343390
0.04000128,0.44038210
0.04033463,0.43183690
0.04066797,0.43641470
0.04100131,0.43916140
0.04133466,0.44343390
0.04166800,0.43824580
0.04200135,0.43000580
0.04233469,0.41901910
0.04266803,0.40070800
0.04300138,0.38026060
0.04333472,0.37079990
0.04366807,0.37354650
0.04400141,0.38331250
0.04433475,0.38361770
0.04466810,0.36927400
0.04500144,0.36194950
0.04533479,0.36469620
0.04566813,0.37751400
0.04600147,0.37232580
0.04633482,0.36469620
0.04666816,0.36194950
0.04700151,0.38087100
0.04733485,0.38850060
0.04766819,0.40742210
0.04800154,0.42786950
0.04833488,0.43794060
0.04866823,0.41657770
0.04900157,0.42970060
0.04933491,0.44404430
0.04966826,0.44587540
0.05000160,0.44648580
0.05033495,0.44801170
0.05066829,0.43916140
0.05100163,0.44557020
0.05133498,0.44129770
0.05166832,0.43763540
0.05200167,0.42817470
0.05233501,0.40681170
0.05266835,0.39155250
0.05300170,0.41688280
0.05333504,0.40223400
0.05366839,0.38392280
0.05400173,0.37141030
0.05433507,0.35920290
0.05466842,0.35431990
0.05500176,0.36713770
0.05533511,0.37079990
0.05566845,0.38758510
0.05600179,0.37934510
0.05633514,0.37873470
0.05666848,0.36866360
0.05700183,0.39277320
0.05733517,0.40620140
0.05766851,0.43061620
0.05800186,0.44770650
0.05833520,0.44679100
0.05866855,0.45350500
