Time,Channel A
(s),(V)

0.00000000,-0.94821010
0.00033334,-0.95797600
0.00066669,-0.96530040
0.00100003,-0.98544270
0.00133338,-1.00466900
0.00166672,-1.01413000
0.00200006,-1.03701900
0.00233341,-1.03854500
0.00266675,-1.04373300
0.00300010,-1.05624600
0.00333344,-1.04861600
0.00366678,-1.04617500
0.00400013,-1.05288900
0.00433347,-1.05624600
0.00466682,-1.05929700
0.00500016,-1.04586900
0.00533350,-1.04312300
0.00566685,-1.02633800
0.00600019,-1.02816900
0.00633354,-1.01779200
0.00666688,-1.00833200
0.00700022,-0.98666340
0.00733357,-0.97201450
0.00766691,-0.97293010
0.00800026,-0.96835230
0.00833360,-0.95248270
0.00866694,-0.96194340
0.00900029,-0.95858640
0.00933363,-0.95065160
0.00966698,-0.94607380
0.01000032,-0.93966490
0.01033366,-0.95217750
0.01066701,-0.96957300
0.01100035,-0.98391680
0.01133370,-0.98605300
0.01166704,-1.00161700
0.01200038,-1.01748700
0.01233373,-1.01931800
0.01266707,-1.02267500
0.01300042,-1.03793500
0.01333376,-1.04800600
0.01366710,-1.04983700
0.01400045,-1.05441500
0.01433379,-1.04129200
0.01466714,-1.04953200
0.01500048,-1.05166800
0.01533382,-1.04739500
0.01566717,-1.02664300
0.01600051,-1.01168900
0.01633386,-1.00161700
0.01666720,-0.98452710
0.01700054,-0.97567680
0.01733389,-0.96011230
0.01766723,-0.95553450
0.01800058,-0.95278790
0.01833392,-0.97170940
0.01866726,-0.95614490
0.01900061,-0.95095680
0.01933395,-0.95248270
0.01966730,-0.95370340
0.02000064,-0.95492420
0.02033398,-0.94943080
0.02066733,-0.97293010
0.02100067,-0.98635820
0.02133402,-1.00222800
0.02166736,-1.01718200
0.02200070,-1.02969500
0.02233405,-1.03946000
0.02266739,-1.05319400
0.02300074,-1.04983700
0.02333408,-1.04892100
0.02366742,-1.04007100
0.02400077,-1.06021300
0.02433411,-1.06143400
0.02466746,-1.06265400
0.02500080,-1.04800600
0.02533414,-1.03793500
0.02566749,-1.03885000
0.02600083,-1.03061000
0.02633418,-1.02389600
0.02666752,-0.99826040
0.02700086,-0.98544270
0.02733421,-0.96285900
0.02766755,-0.95339820
0.02800090,-0.96987830
0.02833424,-0.95980710
0.02866758,-0.95522930
0.02900093,-0.95950190
0.02933427,-0.95004120
0.02966762,-0.95736560
0.03000096,-0.96255380
0.03033430,-0.96163820
0.03066765,-0.96743670
0.03100099,-0.97903380
0.03133434,-0.99734490
0.03166768,-1.00833200
0.03200103,-1.00741600
0.03233437,-1.02206500
0.03266771,-1.03244100
0.03300106,-1.04556400
0.03333440,-1.04007100
0.03366775,-1.03549300
0.03400109,-1.04678500
0.03433443,-1.04373300
0.03466778,-1.04770000
0.03500112,-1.04586900
0.03533447,-1.03854500
0.03566781,-1.01321400
0.03600115,-1.00833200
0.03633450,-0.99459820
0.03666784,-0.99032560
0.03700119,-0.97445600
0.03733453,-0.96865750
0.03766787,-0.95645010
0.03800122,-0.95736560
0.03833456,-0.96194340
0.03866791,-0.95980710
0.03900125,-0.94973600
0.03933459,-0.96377450
0.03966794,-0.95980710
0.04000128,-0.95156710
0.04033463,-0.95675530
0.04066797,-0.97354040
0.04100131,-0.99978640
0.04133466,-1.00741600
0.04166800,-1.01474000
0.04200135,-1.02267500
0.04233469,-1.03549300
0.04266803,-1.05166800
0.04300138,-1.04617500
0.04333472,-1.04770000
0.04366807,-1.06296000
0.04400141,-1.04709000
0.04433475,-1.05899200
0.04466810,-1.05685600
0.04500144,-1.06204400
0.04533479,-1.05563500
0.04566813,-1.03854500
0.04600147,-1.03427200
0.04633482,-1.01168900
0.04666816,-1.00100700
0.04700151,-0.99917600
0.04733485,-0.98879970
0.04766819,-0.97964420
0.04800154,-0.95919670
0.04833488,-0.95614490
0.04866823,-0.96285900
0.04900157,-0.95522930
0.04933491,-0.95645010
0.04966826,-0.94485310
0.05000160,-0.95248270
0.05033495,-0.96041750
0.05066829,-0.96438490
0.05100163,-0.98300120
0.05133498,-0.99581900
0.05166832,-1.00558500
0.05200167,-1.01229900
0.05233501,-1.02511700
0.05266835,-1.03732400
0.05300170,-1.05136300
0.05333504,-1.05349900
0.05366839,-1.05777200
0.05400173,-1.04861600
