Time,Channel A
(s),(mV)

0.00000000,-38.40754000
0.00033334,-55.72679000
0.00066669,-68.71242000
0.00100003,-82.81197000
0.00133338,-88.47315000
0.00166672,-81.46916000
0.00200006,-93.08144000
0.00233341,-105.60930000
0.00266675,-85.71123000
0.00300010,-94.14960000
0.00333344,-84.21582000
0.00366678,-78.00531000
0.00400013,-41.00161000
0.00433347,-44.34339000
0.00466682,-26.71895000
0.00500016,1.12918500
0.00533350,22.04962000
0.00566685,28.51954000
0.00600019,53.92620000
0.00633354,61.14383000
0.00666688,52.55287000
0.00700022,44.08398000
0.00733357,54.07880000
0.00766691,59.37376000
0.00800026,47.57835000
0.00833360,39.62828000
0.00866694,32.10547000
0.00900029,13.85540000
0.00933363,1.19022200
0.00966698,-25.37614000
0.01000032,-40.51332000
0.01033366,-51.04220000
0.01066701,-61.29642000
0.01100035,-73.56486000
0.01133370,-77.19656000
0.01166704,-78.00531000
0.01200038,-81.20975000
0.01233373,-72.83241000
0.01266707,-81.10294000
0.01300042,-71.29124000
0.01333376,-73.07656000
0.01366710,-69.42960000
0.01400045,-44.81643000
0.01433379,-32.74636000
0.01466714,-35.41673000
0.01500048,-3.40281400
0.01533382,12.00903000
0.01566717,26.64266000
0.01600051,35.49303000
0.01633386,29.51140000
0.01666720,44.74013000
0.01700054,43.53465000
0.01733389,57.58842000
0.01766723,52.78176000
0.01800058,55.75731000
0.01833392,47.83776000
0.01866726,30.42695000
0.01900061,17.13614000
0.01933395,-4.01318400
0.01966730,-22.47688000
0.02000064,-37.23258000
0.02033398,-53.51420000
0.02066733,-63.00546000
0.02100067,-64.60768000
0.02133402,-84.73463000
0.02166736,-106.29600000
0.02200070,-87.78649000
0.02233405,-102.71000000
0.02266739,-96.02648000
0.02300074,-99.09360000
0.02333408,-67.30857000
0.02366742,-77.48649000
0.02400077,-67.03391000
0.02433411,-41.39835000
0.02466746,-12.10059000
0.02500080,8.31629300
0.02533414,16.46474000
0.02566749,42.60384000
0.02600083,48.03613000
0.02633418,61.08279000
0.02666752,43.68724000
0.02700086,51.71361000
0.02733421,50.21820000
0.02766755,49.72991000
0.02800090,50.78279000
0.02833424,51.02694000
0.02866758,53.78887000
0.02900093,22.26325000
0.02933427,-5.27970200
0.02966762,-11.62755000
0.03000096,-28.70266000
0.03033430,-53.48368000
0.03066765,-65.52323000
0.03100099,-64.08886000
0.03133434,-68.72768000
0.03166768,-82.65938000
0.03200103,-80.58412000
0.03233437,-74.41938000
0.03266771,-84.87197000
0.03300106,-60.02991000
0.03333440,-53.48368000
0.03366775,-58.19880000
0.03400109,-47.34946000
0.03433443,-35.79821000
0.03466778,-9.50651600
0.03500112,16.41896000
0.03533447,35.79821000
0.03566781,39.13999000
0.03600115,37.00369000
0.03633450,31.70873000
0.03666784,45.67095000
0.03700119,59.87731000
0.03733453,36.50013000
0.03766787,57.05435000
0.03800122,41.59673000
0.03833456,36.36280000
0.03866791,22.53792000
0.03900125,7.85851600
0.03933459,-9.79644100
0.03966794,-37.72087000
0.04000128,-38.59065000
0.04033463,-57.69524000
0.04066797,-70.84872000
0.04100131,-76.21997000
0.04133466,-91.64707000
0.04166800,-87.54234000
0.04200135,-88.56471000
0.04233469,-108.29490000
0.04266803,-90.28901000
0.04300138,-87.77123000
0.04333472,-89.34293000
0.04366807,-73.22916000
0.04400141,-57.02383000
0.04433475,-47.39524000
0.04466810,-33.21939000
0.04500144,-18.72310000
0.04533479,8.94192300
0.04566813,24.85732000
0.04600147,41.62724000
0.04633482,50.64546000
0.04666816,45.83880000
0.04700151,34.10443000
0.04733485,55.65050000
0.04766819,52.47657000
0.04800154,43.21421000
0.04833488,47.57835000
0.04866823,36.85110000
0.04900157,27.06992000
0.04933491,8.23999700
0.04966826,-5.89007200
0.05000160,-29.16043000
0.05033495,-35.90503000
0.05066829,-52.52235000
0.05100163,-73.67168000
0.05133498,-79.63805000
0.05166832,-78.11212000
0.05200167,-80.18738000
0.05233501,-76.83035000
0.05266835,-75.28915000
0.05300170,-76.14368000
0.05333504,-68.63612000
0.05366839,-59.98413000
0.05400173,-43.79406000
0.05433507,-21.11881000
0.05466842,-7.56859000
0.05500176,14.96933000
