Time,Channel A
(s),(mV)

0.00000000,123.55420000
0.00033334,138.99660000
0.00066669,138.64560000
0.00100003,125.30900000
0.00133338,95.98071000
0.00166672,75.48753000
0.00200006,54.42976000
0.00233341,38.02606000
0.00266675,19.91333000
0.00300010,14.06903000
0.00333344,-1.96844400
0.00366678,-11.71911000
0.00400013,-6.50044200
0.00433347,4.71510900
0.00466682,-22.79733000
0.00500016,-11.00192000
0.00533350,-10.11689000
0.00566685,-1.66325900
0.00600019,29.29777000
0.00633354,32.77687000
0.00666688,65.14175000
0.00700022,80.30946000
0.00733357,97.01833000
0.00766691,115.90930000
0.00800026,130.46660000
0.00833360,137.74530000
0.00866694,125.30900000
0.00900029,147.77060000
0.00933363,147.48070000
0.00966698,142.46040000
0.01000032,134.61710000
0.01033366,143.10130000
0.01066701,144.97820000
0.01100035,105.34990000
0.01133370,101.42830000
0.01166704,85.05508000
0.01200038,55.89465000
0.01233373,41.74932000
0.01266707,21.11881000
0.01300042,-5.50859100
0.01333376,-18.90622000
0.01366710,-22.50740000
0.01400045,3.31125800
0.01433379,-15.25925000
0.01466714,-30.82369000
0.01500048,-19.31821000
0.01533382,-24.33851000
0.01566717,-9.23184800
0.01600051,-6.62251600
0.01633386,14.95407000
0.01666720,27.64977000
0.01700054,61.05227000
0.01733389,85.43656000
0.01766723,109.69880000
0.01800058,134.12880000
0.01833392,128.91020000
0.01866726,135.76160000
0.01900061,132.16040000
0.01933395,139.85110000
0.01966730,136.79920000
0.02000064,127.36900000
0.02033398,138.37090000
0.02066733,142.18570000
0.02100067,130.29880000
0.02133402,101.55030000
0.02166736,82.79671000
0.02200070,57.86309000
0.02233405,31.40354000
0.02266739,13.67229000
0.02300074,10.71200000
0.02333408,-5.98162700
0.02366742,-8.43836700
0.02400077,-14.26740000
0.02433411,-6.22577600
0.02466746,-25.68132000
0.02500080,6.79036800
0.02533414,-2.21259200
0.02566749,-5.66118300
0.02600083,22.11066000
0.02633418,37.03421000
0.02666752,44.89273000
0.02700086,63.75316000
0.02733421,88.91567000
0.02766755,102.71000000
0.02800090,116.48910000
0.02833424,132.89280000
0.02866758,121.00590000
0.02900093,119.19000000
0.02933427,155.33920000
0.02966762,132.77080000
0.03000096,141.40750000
0.03033430,129.53580000
0.03066765,129.38320000
0.03100099,122.63860000
0.03133434,108.31020000
0.03166768,76.09790000
0.03200103,62.16620000
0.03233437,28.19910000
0.03266771,15.39659000
0.03300106,-0.62562940
0.03333440,-8.89614600
0.03366775,-12.22266000
0.03400109,-6.60725700
0.03433443,-25.80340000
0.03466778,-37.79717000
0.03500112,-5.72222000
0.03533447,-19.83703000
0.03566781,-22.23273000
0.03600115,-10.13214000
0.03633450,5.96636800
0.03666784,34.27229000
0.03700119,75.25864000
0.03733453,92.39478000
0.03766787,109.02740000
0.03800122,138.40140000
0.03833456,151.58540000
0.03866791,127.03330000
0.03900125,140.70560000
0.03933459,135.28850000
0.03966794,131.67210000
0.04000128,131.73310000
0.04033463,145.93950000
0.04066797,138.59980000
0.04100131,134.54080000
0.04133466,99.87182000
0.04166800,82.96456000
0.04200135,69.18546000
0.04233469,42.92428000
0.04266803,22.70577000
0.04300138,11.84118000
0.04333472,-7.95007100
0.04366807,-9.35392200
0.04400141,-1.63274000
0.04433475,-11.32237000
0.04466810,-9.67436700
0.04500144,-3.35703600
0.04533479,1.20548100
0.04566813,-7.73644200
0.04600147,16.58681000
0.04633482,32.41066000
0.04666816,44.69436000
0.04700151,57.57317000
0.04733485,76.47938000
0.04766819,93.60026000
0.04800154,110.32440000
0.04833488,130.57340000
0.04866823,133.99150000
0.04900157,130.29880000
0.04933491,145.11550000
0.04966826,130.72600000
0.05000160,132.89280000
0.05033495,138.87450000
0.05066829,130.90910000
0.05100163,113.58990000
0.05133498,101.22990000
0.05166832,68.17834000
0.05200167,51.97302000
0.05233501,35.01999000
0.05266835,17.82281000
0.05300170,-7.06503400
0.05333504,-5.69170200
0.05366839,-10.10163000
0.05400173,-7.21762700
0.05433507,-31.06784000
0.05466842,-37.84295000
0.05500176,-13.48918000
0.05533511,-22.81259000
0.05566845,-26.76473000
0.05600179,-13.67229000
0.05633514,-2.15155500
