Time,Channel A
(s),(V)

0.00000000,-1.18961200
0.00033334,-1.17374200
0.00066669,-1.16641700
0.00100003,-1.15939800
0.00133338,-1.15390500
0.00166672,-1.15695700
0.00200006,-1.15756700
0.00233341,-1.16367100
0.00266675,-1.16061900
0.00300010,-1.14871700
0.00333344,-1.15573600
0.00366678,-1.14932700
0.00400013,-1.15970300
0.00433347,-1.18503400
0.00466682,-1.20120900
0.00500016,-1.20731200
0.00533350,-1.21005900
0.00566685,-1.20883800
0.00600019,-1.23020100
0.00633354,-1.22959100
0.00666688,-1.23752600
0.00700022,-1.24271400
0.00733357,-1.23600000
0.00766691,-1.22653900
0.00800026,-1.24485000
0.00833360,-1.23142200
0.00866694,-1.21311100
0.00900029,-1.20090300
0.00933363,-1.19266300
0.00966698,-1.16763800
0.01000032,-1.17252100
0.01033366,-1.17343700
0.01066701,-1.16275500
0.01100035,-1.15237900
0.01133370,-1.15146300
0.01166704,-1.14322300
0.01200038,-1.14627500
0.01233373,-1.16458600
0.01266707,-1.16245000
0.01300042,-1.15878800
0.01333376,-1.15939800
0.01366710,-1.15848300
0.01400045,-1.18594900
0.01433379,-1.19846200
0.01466714,-1.20914300
0.01500048,-1.21524700
0.01533382,-1.21402600
0.01566717,-1.20120900
0.01600051,-1.22562300
0.01633386,-1.23508400
0.01666720,-1.25003800
0.01700054,-1.24607100
0.01733389,-1.24149300
0.01766723,-1.22623400
0.01800058,-1.23966200
0.01833392,-1.24301900
0.01866726,-1.22318200
0.01900061,-1.21646800
0.01933395,-1.20792300
0.01966730,-1.19327400
0.02000064,-1.18686500
0.02033398,-1.17679400
0.02066733,-1.16245000
0.02100067,-1.17008000
0.02133402,-1.17923500
0.02166736,-1.16214500
0.02200070,-1.15360000
0.02233405,-1.17282600
0.02266739,-1.17221600
0.02300074,-1.15329400
0.02333408,-1.15573600
0.02366742,-1.16306000
0.02400077,-1.15756700
0.02433411,-1.17862500
0.02466746,-1.20212400
0.02500080,-1.20609200
0.02533414,-1.20914300
0.02566749,-1.21860400
0.02600083,-1.20029300
0.02633418,-1.20700700
0.02666752,-1.23386300
0.02700086,-1.24332400
0.02733421,-1.23661000
0.02766755,-1.24179800
0.02800090,-1.20761700
0.02833424,-1.21219500
0.02866758,-1.21463700
0.02900093,-1.20700700
0.02933427,-1.20365000
0.02966762,-1.18930600
0.03000096,-1.15573600
0.03033430,-1.16550200
0.03066765,-1.16153400
0.03100099,-1.15634600
0.03133434,-1.17465700
0.03166768,-1.16031400
0.03200103,-1.13284700
0.03233437,-1.15329400
0.03266771,-1.15695700
0.03300106,-1.15665100
0.03333440,-1.16061900
0.03366775,-1.15878800
0.03400109,-1.16550200
0.03433443,-1.19418900
0.03466778,-1.21372100
0.03500112,-1.21646800
0.03533447,-1.21890900
0.03566781,-1.22287700
0.03600115,-1.22318200
0.03633450,-1.23996700
0.03666784,-1.25492100
0.03700119,-1.24210300
0.03733453,-1.24210300
0.03766787,-1.25278500
0.03800122,-1.25949900
0.03833456,-1.23386300
0.03866791,-1.22653900
0.03900125,-1.21952000
0.03933459,-1.21982500
0.03966794,-1.20883800
0.04000128,-1.19510500
0.04033463,-1.17008000
0.04066797,-1.17221600
0.04100131,-1.16275500
0.04133466,-1.15268400
0.04166800,-1.16306000
0.04200135,-1.15024300
0.04233469,-1.13315200
0.04266803,-1.15573600
0.04300138,-1.16336600
0.04333472,-1.16977400
0.04366807,-1.17984600
0.04400141,-1.18472900
0.04433475,-1.16397600
0.04466810,-1.18686500
0.04500144,-1.20365000
0.04533479,-1.20426000
0.04566813,-1.21402600
0.04600147,-1.22257100
0.04633482,-1.21799400
0.04666816,-1.24210300
0.04700151,-1.24851200
0.04733485,-1.24607100
0.04766819,-1.24393400
0.04800154,-1.23813600
0.04833488,-1.20242900
0.04866823,-1.20975400
0.04900157,-1.21158500
0.04933491,-1.19602000
0.04966826,-1.19724100
0.05000160,-1.17984600
0.05033495,-1.15756700
0.05066829,-1.15787200
0.05100163,-1.15024300
0.05133498,-1.15085300
0.05166832,-1.15756700
0.05200167,-1.15665100
0.05233501,-1.15207400
0.05266835,-1.15695700
0.05300170,-1.16092400
0.05333504,-1.16702800
0.05366839,-1.17374200
0.05400173,-1.18442300
