Time,Channel A
(s),(V)

0.00000000,0.06237983
0.00033334,0.05139317
0.00066669,0.05743583
0.00100003,0.06793420
0.00133338,0.05877865
0.00166672,0.03991821
0.00200006,0.01672414
0.00233341,-0.00872829
0.00266675,-0.01916562
0.00300010,-0.03363140
0.00333344,-0.04730369
0.00366678,-0.04895169
0.00400013,-0.05993835
0.00433347,-0.05005036
0.00466682,-0.03888058
0.00500016,-0.06207465
0.00533350,-0.03845332
0.00566685,-0.04675436
0.00600019,-0.04596087
0.00633354,-0.02264473
0.00666688,-0.01977599
0.00700022,0.00659200
0.00733357,0.03167821
0.00766691,0.03326517
0.00800026,0.04199347
0.00833360,0.04547258
0.00866694,0.06079287
0.00900029,0.05554369
0.00933363,0.08142339
0.00966698,0.06622516
0.01000032,0.06891079
0.01033366,0.06006043
0.01066701,0.05005036
0.01100035,0.05230872
0.01133370,0.03729362
0.01166704,0.03375347
0.01200038,0.00811792
0.01233373,-0.00976592
0.01266707,-0.01916562
0.01300042,-0.02978607
0.01333376,-0.03967406
0.01366710,-0.05395672
0.01400045,-0.06396680
0.01433379,-0.05133213
0.01466714,-0.06591998
0.01500048,-0.06939909
0.01533382,-0.05725272
0.01566717,-0.07348857
0.01600051,-0.05005036
0.01633386,-0.03772088
0.01666720,-0.03039644
0.01700054,-0.00811792
0.01733389,0.01666311
0.01766723,0.02575762
0.01800058,0.02667318
0.01833392,0.03643910
0.01866726,0.03643910
0.01900061,0.05676443
0.01933395,0.05352946
0.01966730,0.07281716
0.02000064,0.06231879
0.02033398,0.07593005
0.02066733,0.07379375
0.02100067,0.06726280
0.02133402,0.04998932
0.02166736,0.03558458
0.02200070,0.03650014
0.02233405,0.01013215
0.02266739,-0.00494400
0.02300074,-0.02148503
0.02333408,-0.03845332
0.02366742,-0.05560473
0.02400077,-0.05603198
0.02433411,-0.04577776
0.02466746,-0.04913480
0.02500080,-0.04943999
0.02533414,-0.03704947
0.02566749,-0.05023347
0.02600083,-0.04882962
0.02633418,-0.03118992
0.02666752,-0.00640889
0.02700086,0.01110874
0.02733421,0.03234962
0.02766755,0.03473006
0.02800090,0.04528947
0.02833424,0.05316325
0.02866758,0.05389569
0.02900093,0.06378368
0.02933427,0.07495346
0.02966762,0.06195258
0.03000096,0.07501449
0.03033430,0.06897183
0.03066765,0.05938902
0.03100099,0.04693747
0.03133434,0.05053865
0.03166768,0.02362133
0.03200103,0.01898251
0.03233437,-0.00378430
0.03266771,-0.00622578
0.03300106,-0.01825007
0.03333440,-0.02734458
0.03366775,-0.04931791
0.03400109,-0.04992828
0.03433443,-0.05096591
0.03466778,-0.07806635
0.03500112,-0.05554369
0.03533447,-0.07501449
0.03566781,-0.05542161
0.03600115,-0.06665242
0.03633450,-0.06433302
0.03666784,-0.05609302
0.03700119,-0.02856532
0.03733453,0.00305185
0.03766787,0.02850429
0.03800122,0.03650014
0.03833456,0.05328532
0.03866791,0.05957213
0.03900125,0.05609302
0.03933459,0.07251198
0.03966794,0.05847346
0.04000128,0.07397687
0.04033463,0.05633717
0.04066797,0.07025361
0.04100131,0.05597094
0.04133466,0.05114902
0.04166800,0.04504532
0.04200135,0.02703940
0.04233469,0.00976592
0.04266803,-0.01361126
0.04300138,-0.02130192
0.04333472,-0.03473006
0.04366807,-0.05133213
0.04400141,-0.07013153
0.04433475,-0.05536058
0.04466810,-0.04547258
0.04500144,-0.04895169
0.04533479,-0.04705954
0.04566813,-0.04705954
0.04600147,-0.03833125
0.04633482,-0.02307199
0.04666816,-0.00292978
0.04700151,0.01190222
0.04733485,0.00738548
0.04766819,0.02581866
0.04800154,0.03527940
0.04833488,0.05041658
0.04866823,0.05572680
0.04900157,0.07361065
0.04933491,0.06097598
0.04966826,0.05676443
0.05000160,0.06695761
0.05033495,0.07788324
0.05066829,0.06903287
0.05100163,0.04821924
0.05133498,0.04602191
0.05166832,0.03247169
0.05200167,0.02130192
0.05233501,0.00091556
0.05266835,-0.01153600
0.05300170,-0.03808710
0.05333504,-0.03790399
0.05366839,-0.04107791
0.05400173,-0.05017243
0.05433507,-0.06213569
0.05466842,-0.07184057
0.05500176,-0.07464828
0.05533511,-0.05621509
0.05566845,-0.07251198
0.05600179,-0.05810724
0.05633514,-0.04870754
