Time,Channel A
(s),(V)

0.00000000,0.09997864
0.00033334,0.08252205
0.00066669,0.06335643
0.00100003,0.04455702
0.00133338,0.02667318
0.00166672,0.00939970
0.00200006,0.00366222
0.00233341,-0.00775170
0.00266675,-0.01477096
0.00300010,-0.02807703
0.00333344,-0.03546251
0.00366678,-0.03302103
0.00400013,-0.03265481
0.00433347,-0.01867733
0.00466682,-0.03302103
0.00500016,-0.02807703
0.00533350,-0.00762963
0.00566685,-0.00067141
0.00600019,0.03271584
0.00633354,0.05493332
0.00666688,0.06549272
0.00700022,0.07019258
0.00733357,0.08966338
0.00766691,0.10364090
0.00800026,0.10968350
0.00833360,0.09546190
0.00866694,0.10284740
0.00900029,0.09607227
0.00933363,0.09857479
0.00966698,0.10522780
0.01000032,0.10895110
0.01033366,0.08343761
0.01066701,0.05346843
0.01100035,0.03393658
0.01133370,0.01947081
0.01166704,-0.00799585
0.01200038,-0.01910459
0.01233373,-0.02282785
0.01266707,-0.02838221
0.01300042,-0.03314310
0.01333376,-0.04107791
0.01366710,-0.05786309
0.01400045,-0.03900266
0.01433379,-0.05243080
0.01466714,-0.04480117
0.01500048,-0.03039644
0.01533382,-0.03167821
0.01566717,-0.00231941
0.01600051,0.01489303
0.01633386,0.04376354
0.01666720,0.07495346
0.01700054,0.08868679
0.01733389,0.10156560
0.01766723,0.10504470
0.01800058,0.09186071
0.01833392,0.09869686
0.01866726,0.09558398
0.01900061,0.10712000
0.01933395,0.09558398
0.01966730,0.09887997
0.02000064,0.11481060
0.02033398,0.08722190
0.02066733,0.05743583
0.02100067,0.04907376
0.02133402,0.02081362
0.02166736,-0.00408948
0.02200070,-0.01538133
0.02233405,-0.02722251
0.02266739,-0.03027436
0.02300074,-0.02630696
0.02333408,-0.03161718
0.02366742,-0.03424177
0.02400077,-0.03045747
0.02433411,-0.03863643
0.02466746,-0.02868740
0.02500080,0.00695822
0.02533414,0.01281777
0.02566749,0.01458785
0.02600083,0.04901273
0.02633418,0.05865657
0.02666752,0.07220680
0.02700086,0.08941923
0.02733421,0.10931730
0.02766755,0.10681480
0.02800090,0.09961241
0.02833424,0.10504470
0.02866758,0.10284740
0.02900093,0.10443430
0.02933427,0.09497360
0.02966762,0.10229800
0.03000096,0.10065000
0.03033430,0.08813746
0.03066765,0.05529954
0.03100099,0.04272591
0.03133434,0.02117985
0.03166768,-0.01007111
0.03200103,-0.01641896
0.03233437,-0.02844325
0.03266771,-0.02972503
0.03300106,-0.03924681
0.03333440,-0.03619495
0.03366775,-0.07306131
0.03400109,-0.04083376
0.03433443,-0.06103702
0.03466778,-0.04284799
0.03500112,-0.04010132
0.03533447,-0.02551347
0.03566781,0.00146489
0.03600115,0.02710044
0.03633450,0.05450606
0.03666784,0.06701864
0.03700119,0.07269509
0.03733453,0.09949034
0.03766787,0.08832057
0.03800122,0.08093509
0.03833456,0.11902220
0.03866791,0.09796441
0.03900125,0.11560410
0.03933459,0.09088412
0.03966794,0.09961241
0.04000128,0.08691671
0.04033463,0.08008057
0.04066797,0.05499435
0.04100131,0.04162725
0.04133466,0.01477096
0.04166800,0.00689718
0.04200135,-0.01495407
0.04233469,-0.02777184
0.04266803,-0.02716147
0.04300138,-0.03186132
0.04333472,-0.02594073
0.04366807,-0.04211554
0.04400141,-0.02893155
0.04433475,-0.02844325
0.04466810,-0.01440474
0.04500144,0.00305185
0.04533479,0.01495407
0.04566813,0.02728355
0.04600147,0.03625599
0.04633482,0.05139317
0.04666816,0.07727286
0.04700151,0.09887997
0.04733485,0.10718100
0.04766819,0.10638750
0.04800154,0.10180970
0.04833488,0.08691671
0.04866823,0.11426130
0.04900157,0.10480060
0.04933491,0.09363079
0.04966826,0.10705890
0.05000160,0.10272530
0.05033495,0.07757805
0.05066829,0.05786309
0.05100163,0.03137303
0.05133498,0.01886044
0.05166832,-0.00720237
0.05200167,-0.01641896
0.05233501,-0.02868740
0.05266835,-0.04205450
0.05300170,-0.04199347
0.05333504,-0.05157628
0.05366839,-0.05932798
0.05400173,-0.04010132
0.05433507,-0.05749687
0.05466842,-0.04681540
0.05500176,-0.02874844
0.05533511,-0.02221747
0.05566845,0.01825007
0.05600179,0.03271584
0.05633514,0.04535051
0.05666848,0.06909391
