Time,Channel A
(s),(V)

0.00000000,-0.98055970
0.00033334,-0.98208560
0.00066669,-0.99826040
0.00100003,-1.00283800
0.00133338,-0.99948120
0.00166672,-1.00772100
0.00200006,-1.02298000
0.00233341,-1.01016300
0.00266675,-0.98513750
0.00300010,-0.97415080
0.00333344,-0.98055970
0.00366678,-0.98818930
0.00400013,-0.98941010
0.00433347,-0.95217750
0.00466682,-0.94119080
0.00500016,-0.94759970
0.00533350,-0.93844410
0.00566685,-0.92379530
0.00600019,-0.90487380
0.00633354,-0.91097750
0.00666688,-0.91525010
0.00700022,-0.91341900
0.00733357,-0.90884120
0.00766691,-0.91708120
0.00800026,-0.93050930
0.00833360,-0.94332710
0.00866694,-0.94637900
0.00900029,-0.95858640
0.00933363,-0.96652120
0.00966698,-0.98117010
0.01000032,-0.98330630
0.01033366,-0.98971530
0.01066701,-1.00131200
0.01100035,-1.00894200
0.01133370,-1.02084400
0.01166704,-1.00466900
0.01200038,-1.00711100
0.01233373,-1.00100700
0.01266707,-1.00802600
0.01300042,-1.01413000
0.01333376,-0.99826040
0.01366710,-0.99276710
0.01400045,-0.99490340
0.01433379,-0.98269600
0.01466714,-0.95919670
0.01500048,-0.94241150
0.01533382,-0.92867820
0.01566717,-0.91158790
0.01600051,-0.90975680
0.01633386,-0.92562640
0.01666720,-0.92318490
0.01700054,-0.91830190
0.01733389,-0.91830190
0.01766723,-0.91158790
0.01800058,-0.91158790
0.01833392,-0.94180120
0.01866726,-0.94210640
0.01900061,-0.95950190
0.01933395,-0.96255380
0.01966730,-0.96804710
0.02000064,-0.98422190
0.02033398,-0.99887080
0.02066733,-0.99887080
0.02100067,-1.00863700
0.02133402,-1.00344900
0.02166736,-1.00650000
0.02200070,-1.00833200
0.02233405,-1.00833200
0.02266739,-0.99459820
0.02300074,-0.98910490
0.02333408,-0.99032560
0.02366742,-0.99154640
0.02400077,-0.97994940
0.02433411,-0.96255380
0.02466746,-0.95278790
0.02500080,-0.94271680
0.02533414,-0.93142490
0.02566749,-0.91921750
0.02600083,-0.90487380
0.02633418,-0.91677600
0.02666752,-0.91219820
0.02700086,-0.91189310
0.02733421,-0.90121160
0.02766755,-0.90701010
0.02800090,-0.92623670
0.02833424,-0.92959380
0.02866758,-0.93966490
0.02900093,-0.94912560
0.02933427,-0.95858640
0.02966762,-0.96682640
0.03000096,-0.97537150
0.03033430,-0.98544270
0.03066765,-1.00131200
0.03100099,-0.99673450
0.03133434,-1.00619500
0.03166768,-1.00680600
0.03200103,-1.00863700
0.03233437,-1.01321400
0.03266771,-1.01809800
0.03300106,-1.00741600
0.03333440,-0.99673450
0.03366775,-0.98483230
0.03400109,-0.96804710
0.03433443,-0.95187230
0.03466778,-0.94576860
0.03500112,-0.92989900
0.03533447,-0.92074340
0.03566781,-0.92257450
0.03600115,-0.92196420
0.03633450,-0.91555530
0.03666784,-0.94332710
0.03700119,-0.91677600
0.03733453,-0.91311380
0.03766787,-0.91891230
0.03800122,-0.91494490
0.03833456,-0.92440560
0.03866791,-0.94759970
0.03900125,-0.94943080
0.03933459,-0.97201450
0.03966794,-0.98025450
0.04000128,-0.98330630
0.04033463,-0.98483230
0.04066797,-0.98788420
0.04100131,-0.99002050
0.04133466,-0.98910490
0.04166800,-0.99246190
0.04200135,-0.99490340
0.04233469,-0.98483230
0.04266803,-0.98971530
0.04300138,-0.99246190
0.04333472,-0.99246190
0.04366807,-0.98757900
0.04400141,-0.97659230
0.04433475,-0.96896270
0.04466810,-0.96560560
0.04500144,-0.94912560
0.04533479,-0.93356120
0.04566813,-0.91830190
0.04600147,-0.91555530
0.04633482,-0.92654190
0.04666816,-0.91860710
0.04700151,-0.92410050
0.04733485,-0.91921750
0.04766819,-0.90945160
0.04800154,-0.91891230
0.04833488,-0.92318490
0.04866823,-0.94241150
0.04900157,-0.95583970
0.04933491,-0.96072270
0.04966826,-0.98361160
0.05000160,-0.99337750
0.05033495,-0.99459820
0.05066829,-1.00253300
0.05100163,-1.01718200
0.05133498,-1.01626600
0.05166832,-1.01962300
0.05200167,-1.00589000
0.05233501,-1.01779200
0.05266835,-1.01657200
0.05300170,-1.01748700
0.05333504,-0.99276710
0.05366839,-0.98330630
0.05400173,-0.97354040
