Time,Channel A
(s),(V)

0.00000000,-0.43061620
0.00033334,-0.41993470
0.00066669,-0.40620140
0.00100003,-0.39918210
0.00133338,-0.40101320
0.00166672,-0.40467540
0.00200006,-0.40101320
0.00233341,-0.40467540
0.00266675,-0.38514360
0.00300010,-0.34669030
0.00333344,-0.33204140
0.00366678,-0.35676140
0.00400013,-0.36133920
0.00433347,-0.35950800
0.00466682,-0.36164430
0.00500016,-0.35309920
0.00533350,-0.33936580
0.00566685,-0.34974210
0.00600019,-0.36255990
0.00633354,-0.37629320
0.00666688,-0.38636430
0.00700022,-0.38758510
0.00733357,-0.38514360
0.00766691,-0.40101320
0.00800026,-0.40833770
0.00833360,-0.42359690
0.00866694,-0.43153170
0.00900029,-0.42146060
0.00933363,-0.41199990
0.00966698,-0.42054510
0.01000032,-0.43641470
0.01033366,-0.44587540
0.01066701,-0.43183690
0.01100035,-0.42023990
0.01133370,-0.39551990
0.01166704,-0.38880580
0.01200038,-0.39887690
0.01233373,-0.37842950
0.01266707,-0.37781920
0.01300042,-0.38483840
0.01333376,-0.35767690
0.01366710,-0.33936580
0.01400045,-0.34882660
0.01433379,-0.36347540
0.01466714,-0.34485920
0.01500048,-0.34638510
0.01533382,-0.33143100
0.01566717,-0.33234660
0.01600051,-0.34974210
0.01633386,-0.36378060
0.01666720,-0.37842950
0.01700054,-0.37995540
0.01733389,-0.37659840
0.01766723,-0.38636430
0.01800058,-0.40314950
0.01833392,-0.39704580
0.01866726,-0.40803250
0.01900061,-0.41932430
0.01933395,-0.41230510
0.01966730,-0.40833770
0.02000064,-0.41871400
0.02033398,-0.42359690
0.02066733,-0.42695390
0.02100067,-0.42298650
0.02133402,-0.40864280
0.02166736,-0.39094210
0.02200070,-0.39094210
0.02233405,-0.37659840
0.02266739,-0.36744280
0.02300074,-0.36835840
0.02333408,-0.36408580
0.02366742,-0.34760580
0.02400077,-0.34882660
0.02433411,-0.36164430
0.02466746,-0.36164430
0.02500080,-0.36378060
0.02533414,-0.35706660
0.02566749,-0.33356730
0.02600083,-0.35065770
0.02633418,-0.37354650
0.02666752,-0.38026060
0.02700086,-0.39124730
0.02733421,-0.40253910
0.02766755,-0.39826660
0.02800090,-0.38789020
0.02833424,-0.40925320
0.02866758,-0.42023990
0.02900093,-0.43916140
0.02933427,-0.43763540
0.02966762,-0.39887690
0.03000096,-0.41108430
0.03033430,-0.43458360
0.03066765,-0.44526510
0.03100099,-0.42878510
0.03133434,-0.42085020
0.03166768,-0.38575400
0.03200103,-0.37446210
0.03233437,-0.38483840
0.03266771,-0.37232580
0.03300106,-0.36744280
0.03333440,-0.36866360
0.03366775,-0.35584580
0.03400109,-0.34302800
0.03433443,-0.35798210
0.03466778,-0.35431990
0.03500112,-0.35950800
0.03533447,-0.35828730
0.03566781,-0.32959990
0.03600115,-0.33631400
0.03633450,-0.35493030
0.03666784,-0.37110510
0.03700119,-0.38850060
0.03733453,-0.39582510
0.03766787,-0.39979250
0.03800122,-0.39490950
0.03833456,-0.40284430
0.03866791,-0.41169470
0.03900125,-0.42390210
0.03933459,-0.41993470
0.03966794,-0.42359690
0.04000128,-0.41901910
0.04033463,-0.42298650
0.04066797,-0.43031100
0.04100131,-0.42146060
0.04133466,-0.40925320
0.04166800,-0.39551990
0.04200135,-0.37324140
0.04233469,-0.37965030
0.04266803,-0.37903990
0.04300138,-0.36622210
0.04333472,-0.36347540
0.04366807,-0.36622210
0.04400141,-0.34089170
0.04433475,-0.33661920
0.04466810,-0.35615100
0.04500144,-0.36286510
0.04533479,-0.36103400
0.04566813,-0.35584580
0.04600147,-0.33631400
0.04633482,-0.34272290
0.04666816,-0.37018950
0.04700151,-0.38789020
0.04733485,-0.41169470
0.04766819,-0.40925320
0.04800154,-0.39735100
0.04833488,-0.39674060
0.04866823,-0.42085020
0.04900157,-0.42939540
0.04933491,-0.43916140
0.04966826,-0.42939540
0.05000160,-0.42054510
0.05033495,-0.41505170
0.05066829,-0.43061620
0.05100163,-0.42542800
0.05133498,-0.40742210
0.05166832,-0.39399390
0.05200167,-0.36439100
0.05233501,-0.36042360
0.05266835,-0.36378060
0.05300170,-0.35828730
0.05333504,-0.36133920
0.05366839,-0.36988430
0.05400173,-0.36500140
