Time,Channel A
(s),(V)

0.00000000,-0.76693020
0.00033334,-0.73915830
0.00066669,-0.72267830
0.00100003,-0.69978940
0.00133338,-0.70802940
0.00166672,-0.71047090
0.00200006,-0.70955530
0.00233341,-0.69826350
0.00266675,-0.67781610
0.00300010,-0.66408280
0.00333344,-0.66927090
0.00366678,-0.67049160
0.00400013,-0.69490650
0.00433347,-0.70467240
0.00466682,-0.71016570
0.00500016,-0.70528270
0.00533350,-0.72023680
0.00566685,-0.73854790
0.00600019,-0.75991090
0.00633354,-0.76967680
0.00666688,-0.77944270
0.00700022,-0.76662490
0.00733357,-0.76815090
0.00766691,-0.79744860
0.00800026,-0.79622790
0.00833360,-0.81392870
0.00866694,-0.79317610
0.00900029,-0.77181310
0.00933363,-0.78737750
0.00966698,-0.79317610
0.01000032,-0.78493610
0.01033366,-0.76754050
0.01066701,-0.75197610
0.01100035,-0.72725610
0.01133370,-0.69368570
0.01166704,-0.68941310
0.01200038,-0.69063390
0.01233373,-0.69948420
0.01266707,-0.70009460
0.01300042,-0.68666650
0.01333376,-0.67476420
0.01366710,-0.67903690
0.01400045,-0.66866050
0.01433379,-0.68056270
0.01466714,-0.70772420
0.01500048,-0.72939230
0.01533382,-0.72359380
0.01566717,-0.74617760
0.01600051,-0.75838490
0.01633386,-0.78127380
0.01666720,-0.77730640
0.01700054,-0.77791680
0.01733389,-0.77272870
0.01766723,-0.78341010
0.01800058,-0.78981900
0.01833392,-0.79134490
0.01866726,-0.79317610
0.01900061,-0.78005310
0.01933395,-0.76296280
0.01966730,-0.76662490
0.02000064,-0.76296280
0.02033398,-0.74617760
0.02066733,-0.71535380
0.02100067,-0.70589310
0.02133402,-0.67873170
0.02166736,-0.67537460
0.02200070,-0.69246500
0.02233405,-0.70314650
0.02266739,-0.69063390
0.02300074,-0.68758200
0.02333408,-0.66805020
0.02366742,-0.66835530
0.02400077,-0.68514060
0.02433411,-0.69643240
0.02466746,-0.71291240
0.02500080,-0.72145750
0.02533414,-0.71993170
0.02566749,-0.73213910
0.02600083,-0.77028720
0.02633418,-0.78279980
0.02666752,-0.79134490
0.02700086,-0.81026640
0.02733421,-0.79683830
0.02766755,-0.77211830
0.02800090,-0.81331830
0.02833424,-0.81667530
0.02866758,-0.81881160
0.02900093,-0.78707240
0.02933427,-0.77578050
0.02966762,-0.75930050
0.03000096,-0.76479390
0.03033430,-0.76296280
0.03066765,-0.74648270
0.03100099,-0.73244420
0.03133434,-0.71352270
0.03166768,-0.67690060
0.03200103,-0.69063390
0.03233437,-0.69215980
0.03266771,-0.70192570
0.03300106,-0.70039980
0.03333440,-0.68941310
0.03366775,-0.67873170
0.03400109,-0.68239380
0.03433443,-0.70345160
0.03466778,-0.71871090
0.03500112,-0.73702200
0.03533447,-0.72756120
0.03566781,-0.71443830
0.03600115,-0.74251530
0.03633450,-0.75746940
0.03666784,-0.77211830
0.03700119,-0.79439680
0.03733453,-0.79531230
0.03766787,-0.76235230
0.03800122,-0.77120270
0.03833456,-0.78890350
0.03866791,-0.79134490
0.03900125,-0.78859830
0.03933459,-0.77883240
0.03966794,-0.75533310
0.04000128,-0.75350200
0.04033463,-0.76113160
0.04066797,-0.75411240
0.04100131,-0.73793760
0.04133466,-0.72450940
0.04166800,-0.69917910
0.04200135,-0.68605610
0.04233469,-0.68941310
0.04266803,-0.69154940
0.04300138,-0.69582200
0.04333472,-0.69246500
0.04366807,-0.68361460
0.04400141,-0.68575090
0.04433475,-0.70223090
0.04466810,-0.73366500
0.04500144,-0.74434640
0.04533479,-0.75533310
0.04566813,-0.76418350
0.04600147,-0.75441750
0.04633482,-0.77700130
0.04666816,-0.78371530
0.04700151,-0.78951380
0.04733485,-0.80568860
0.04766819,-0.81514940
0.04800154,-0.79866940
0.04833488,-0.81606500
0.04866823,-0.80507830
0.04900157,-0.81362350
0.04933491,-0.82155830
0.04966826,-0.80202650
0.05000160,-0.77242340
0.05033495,-0.76082650
0.05066829,-0.73915830
0.05100163,-0.71901610
0.05133498,-0.70772420
0.05166832,-0.69460130
0.05200167,-0.68391980
0.05233501,-0.69215980
0.05266835,-0.69826350
0.05300170,-0.68849750
0.05333504,-0.68666650
0.05366839,-0.68544570
0.05400173,-0.66774500
