Time,Channel A
(s),(V)

0.00000000,-0.00915555
0.00033334,-0.00824000
0.00066669,-0.01403851
0.00100003,0.00457778
0.00133338,0.00335704
0.00166672,0.00274667
0.00200006,0.01770074
0.00233341,0.02777184
0.00266675,0.02044740
0.00300010,0.04882962
0.00333344,0.05401776
0.00366678,0.05920591
0.00400013,0.07354961
0.00433347,0.07049776
0.00466682,0.05615406
0.00500016,0.08026368
0.00533350,0.08789331
0.00566685,0.07080294
0.00600019,0.06225776
0.00633354,0.05432295
0.00666688,0.03357036
0.00700022,0.03448591
0.00733357,0.02380444
0.00766691,0.01678518
0.00800026,0.01861629
0.00833360,0.00610370
0.00866694,-0.01983703
0.00900029,-0.01373333
0.00933363,-0.01068148
0.00966698,-0.01129185
0.01000032,-0.01892148
0.01033366,-0.01495407
0.01066701,-0.02685629
0.01100035,-0.00152593
0.01133370,0.01312296
0.01166704,0.01800592
0.01200038,0.02685629
0.01233373,0.02838221
0.01266707,0.02227851
0.01300042,0.04425184
0.01333376,0.06530961
0.01366710,0.05767998
0.01400045,0.06775109
0.01433379,0.06286813
0.01466714,0.06561480
0.01500048,0.05890072
0.01533382,0.06378368
0.01566717,0.07660146
0.01600051,0.07629627
0.01633386,0.07415998
0.01666720,0.06225776
0.01700054,0.04211554
0.01733389,0.04516739
0.01766723,0.03265481
0.01800058,0.02868740
0.01833392,0.02319407
0.01866726,0.00701926
0.01900061,-0.01159703
0.01933395,-0.00976592
0.01966730,-0.00976592
0.02000064,-0.01464888
0.02033398,-0.01007111
0.02066733,-0.00366222
0.02100067,-0.00885037
0.02133402,0.01220740
0.02166736,0.01892148
0.02200070,0.03204443
0.02233405,0.04974517
0.02266739,0.04364147
0.02300074,0.04364147
0.02333408,0.05859554
0.02366742,0.07354961
0.02400077,0.07782220
0.02433411,0.06500442
0.02466746,0.06439406
0.02500080,0.05615406
0.02533414,0.07660146
0.02566749,0.07232887
0.02600083,0.05859554
0.02633418,0.05584887
0.02666752,0.03570665
0.02700086,0.02044740
0.02733421,0.03234962
0.02766755,0.02258370
0.02800090,0.01220740
0.02833424,0.00579852
0.02866758,-0.01129185
0.02900093,-0.02349925
0.02933427,-0.01617481
0.02966762,-0.00244148
0.03000096,-0.01037629
0.03033430,-0.01068148
0.03066765,-0.02288888
0.03100099,-0.02441481
0.03133434,0.00305185
0.03166768,0.00274667
0.03200103,0.00274667
0.03233437,0.02960295
0.03266771,0.04211554
0.03300106,0.04333628
0.03333440,0.04089480
0.03366775,0.06195258
0.03400109,0.05920591
0.03433443,0.05798517
0.03466778,0.07324442
0.03500112,0.05340739
0.03533447,0.04058962
0.03566781,0.06683554
0.03600115,0.08087405
0.03633450,0.06653035
0.03666784,0.04333628
0.03700119,0.02716147
0.03733453,0.01190222
0.03766787,0.01739555
0.03800122,0.02777184
0.03833456,0.01648000
0.03866791,0.00946074
0.03900125,-0.00549333
0.03933459,-0.02838221
0.03966794,-0.00518815
0.04000128,0.00213630
0.04033463,0.00762963
0.04066797,-0.00488296
0.04100131,-0.00457778
0.04133466,-0.03479110
0.04166800,0.00244148
0.04200135,0.02594073
0.04233469,0.02533036
0.04266803,0.02685629
0.04300138,0.02349925
0.04333472,0.02594073
0.04366807,0.04882962
0.04400141,0.06225776
0.04433475,0.06073184
0.04466810,0.05859554
0.04500144,0.05920591
0.04533479,0.04577776
0.04566813,0.06225776
0.04600147,0.06195258
0.04633482,0.06622516
0.04666816,0.06530961
0.04700151,0.04913480
0.04733485,0.01098666
0.04766819,-0.00030519
0.04800154,0.00061037
0.04833488,-0.00824000
0.04866823,-0.01403851
0.04900157,-0.01648000
0.04933491,-0.01373333
0.04966826,-0.02868740
0.05000160,-0.01983703
0.05033495,-0.01709037
0.05066829,0.00427259
0.05100163,-0.00366222
0.05133498,-0.00885037
0.05166832,-0.01648000
0.05200167,0.01129185
0.05233501,0.03387555
0.05266835,0.03418073
0.05300170,0.04882962
0.05333504,0.04974517
0.05366839,0.05066073
0.05400173,0.06561480
0.05433507,0.06958220
0.05466842,0.07080294
0.05500176,0.07873775
0.05533511,0.06073184
0.05566845,0.04425184
0.05600179,0.06927702
0.05633514,0.06378368
0.05666848,0.05951110
0.05700183,0.07049776
0.05733517,0.04272591
